,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
99,Budapest,HU001C1,HU11,HU,2013,39.7
100,Bursa,TR005C1,TR41,TR,2013,46.8
101,Cambridge,UK017C1,UKH1,UK,2013,36.8
102,Cluj-Napoca,RO002C1,RO11,RO,2013,40.3
103,Cologne,DE004C1,DEA2,DE,2013,35.2
104,Constanta,RO501C1,RO22,RO,2013,40.6
105,Copenhagen,DK001C1,DK01,DK,2013,33.3
106,Cork,IE002C1,IE05,IE,2013,35.4
107,Dublin,IE001C1,IE06,IE,2013,35.5
108,Dusseldorf,DE011C1,DEA1,DE,2013,35.1
109,Edinburgh,UK007C1,UKM7,UK,2013,36.8
110,Eindhoven,NL005C1,NL41,NL,2013,30.0
111,Frankfurt,DE005C1,DE71,DE,2013,35.6
112,Gdansk,PL006C1,PL63,PL,2013,41.2
113,Geneva,CH002C1,CH01,CH,2013,35.7
114,Gent,BE003C1,BE23,BE,2013,38.0
115,Glasgow,UK004C1,UKM3,UK,2013,36.5
116,Gothenburg,SE002C1,SE23,SE,2013,36.2
117,Hamburg,DE002C1,DE60,DE,2013,36.0
118,Iasi,RO502C1,RO21,RO,2013,40.2
119,Istanbul,TR012C1,TR10,TR,2013,49.9
120,Izmir,TR013C1,TR31,TR,2013,46.8
121,Kaunas,LT002C1,LT02,LT,2013,37.9
122,Krakow (Cracow),PL003C1,PL2,PL,2013,40.0
123,Leeds,UK003C1,UKE4,UK,2013,36.2
124,Limassol,CY501C1,CY00,CY,2013,39.8
125,Lisbon,PT001C1,PT17,PT,2013,40.3
126,Ljubljana,SI001C1,SI04,SI,2013,39.3
127,London,UK001K2,UKI,UK,2013,37.7
128,Luxembourg,LU001C1,LU00,LU,2013,37.2
129,Lyon,FR003C2,FRK2,FR,2013,37.5
130,Madrid,ES001C1,ES30,ES,2013,38.7
131,Manchester,UK008C1,UKD3,UK,2013,36.2
132,Milan,IT002C1,ITC4,IT,2013,37.3
133,Munich,DE003L1,DE21,DE,2013,36.3
134,Nicosia,CY001C1,CY0,CY,2013,39.8
135,Oslo,NO001C1,NO01,NO,2013,34.2
136,Paris,FR001C1,FR10,FR,2013,37.9
137,Porto,PT002C1,PT11,PT,2013,39.5
138,Poznan,PL005C1,PL41,PL,2013,41.7
139,Prague,CZ001C1,CZ01,CZ,2013,40.8
140,Reykjavik,IS001C1,IS00,IS,2013,39.5
141,Riga,LV001C1,LV00,LV,2013,38.8
142,Rome,IT001C1,ITI4,IT,2013,36.4
143,Rotterdam,NL003C1,NL33,NL,2013,30.7
144,The Hague (Den Haag),NL001C1,NL33,NL,2013,30.7
145,Seville (Sevilla),ES004C1,ES61,ES,2013,37.7
146,Sofia,BG001C1,BG41,BG,2013,40.2
147,Stockholm,SE001C1,SE11,SE,2013,36.3
148,Stuttgart,DE007C1,DE11,DE,2013,35.0
149,Tallinn,EE001C1,EE00,EE,2013,38.8
150,Thessaloniki,EL002C1,EL52,EL,2013,42.4
151,Timisoara,RO003C1,RO42,RO,2013,40.3
152,Trieste,IT015C1,ITH4,IT,2013,37.0
153,Trondheim,NO003C1,NO06,NO,2013,33.5
154,Turin,IT004C1,ITC1,IT,2013,37.3
155,Varna,BG003C1,BG33,BG,2013,40.9
156,Vienna,AT001C1,AT13,AT,2013,37.0
157,Vilnius,LT001C1,LT01,LT,2013,38.7
158,Warsaw,PL001C1,PL91,PL,2013,40.3
159,Wroclaw,PL004C1,PL51,PL,2013,40.6
160,Zagreb,HR001C1,HR04,HR,2013,39.6
161,Zurich,CH001C1,CH04,CH,2013,35.0
162,Amsterdam,NL002C1,NL32,NL,2014,30.4
163,Ankara,TR001C1,TR51,TR,2014,47.0
164,Antwerp,BE002C1,BE2,BE,2014,37.4
165,Athens,EL001C1,EL30,EL,2014,40.3
166,Barcelona,ES002C1,ES51,ES,2014,37.6
167,Valencia,ES003C1,ES51,ES,2014,37.6
168,Belfast,UK012C1,UKN0,UK,2014,36.7
169,Belgrade, -,RS11,RS,2014,41.9
170,Bergen,NO002C1,NO05,NO,2014,34.1
171,Berlin,DE001C1,DE30,DE,2014,35.7
172,Birmingham,UK002C1,UKG3,UK,2014,36.4
173,Bologna,IT009C1,ITH5,IT,2014,37.4
174,Brasov,RO504C1,RO12,RO,2014,40.6
175,Bratislava,SK001C1,SK01,SK,2014,41.5
176,Bristol,UK011C1,UKK1,UK,2014,36.3
177,Brno,CZ002C1,CZ06,CZ,2014,40.6
178,Brussels,BE001C1,BE1,BE,2014,37.2
179,Bucharest,RO001C1,RO32,RO,2014,40.5
180,Budapest,HU001C1,HU11,HU,2014,40.3
181,Bursa,TR005C1,TR41,TR,2014,48.2
182,Cambridge,UK017C1,UKH1,UK,2014,36.5
183,Cluj-Napoca,RO002C1,RO11,RO,2014,40.1
184,Cologne,DE004C1,DEA2,DE,2014,35.2
185,Constanta,RO501C1,RO22,RO,2014,40.5
186,Copenhagen,DK001C1,DK01,DK,2014,33.2
187,Cork,IE002C1,IE05,IE,2014,35.8
188,Dublin,IE001C1,IE06,IE,2014,35.8
189,Dusseldorf,DE011C1,DEA1,DE,2014,35.1
190,Edinburgh,UK007C1,UKM7,UK,2014,36.5
191,Eindhoven,NL005C1,NL41,NL,2014,30.3
192,Frankfurt,DE005C1,DE71,DE,2014,35.5
193,Gdansk,PL006C1,PL63,PL,2014,41.5
194,Geneva,CH002C1,CH01,CH,2014,35.5
195,Gent,BE003C1,BE23,BE,2014,37.4
196,Glasgow,UK004C1,UKM3,UK,2014,36.5
197,Gothenburg,SE002C1,SE23,SE,2014,36.2
198,Hamburg,DE002C1,DE60,DE,2014,36.0
199,Iasi,RO502C1,RO21,RO,2014,40.2
200,Istanbul,TR012C1,TR10,TR,2014,49.5
201,Izmir,TR013C1,TR31,TR,2014,47.6
202,Kaunas,LT002C1,LT02,LT,2014,37.8
203,Krakow (Cracow),PL003C1,PL2,PL,2014,40.2
204,Leeds,UK003C1,UKE4,UK,2014,36.0
205,Limassol,CY501C1,CY00,CY,2014,39.4
206,Lisbon,PT001C1,PT17,PT,2014,40.6
207,Ljubljana,SI001C1,SI04,SI,2014,39.2
208,London,UK001K2,UKI,UK,2014,38.0
209,Luxembourg,LU001C1,LU00,LU,2014,37.4
210,Lyon,FR003C2,FRK2,FR,2014,37.3
211,Madrid,ES001C1,ES30,ES,2014,38.7
212,Manchester,UK008C1,UKD3,UK,2014,36.9
213,Milan,IT002C1,ITC4,IT,2014,37.4
214,Munich,DE003L1,DE21,DE,2014,36.2
215,Nicosia,CY001C1,CY0,CY,2014,39.4
216,Oslo,NO001C1,NO01,NO,2014,34.2
217,Paris,FR001C1,FR10,FR,2014,37.7
218,Porto,PT002C1,PT11,PT,2014,40.0
219,Poznan,PL005C1,PL41,PL,2014,41.8
220,Prague,CZ001C1,CZ01,CZ,2014,40.5
221,Reykjavik,IS001C1,IS00,IS,2014,39.6
