City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8,Deaths_in_road_accidents,Average Working Hours,Unemployment_Rate,E_Life_expextancy_at_birth,E_Med_Doctors_per_100000,Gender_Employment_Gap
Timisoara,RO003C1,RO42,RO,2014,24.1,62.4,13.5,113.0,40.3,4.8,74.8,351.33,15.3
Trieste,IT015C1,ITH4,IT,2014,35.4,47.4,17.2,81.0,37.1,8.0,83.4,388.44,17.0
Trondheim,NO003C1,NO06,NO,2014,15.3,43.9,40.7,43.0,33.9,3.8,82.3,448.24,3.5
Turin,IT004C1,ITC1,IT,2014,39.4,44.4,16.2,60.0,37.5,11.3,83.2,351.91,14.2
Varna,BG003C1,BG33,BG,2014,24.4,48.5,27.0,105.0,41.2,12.7,74.0,375.22,9.2
Vienna,AT001C1,AT13,AT,2014,17.2,43.7,39.1,12.0,36.5,10.2,80.5,688.54,5.6
Vilnius,LT001C1,LT01,LT,2014,4.4,48.3,47.3,68.0,38.6,8.5,74.7,430.74,0.5
Warsaw,PL001C1,PL91,PL,2014,3.9,44.4,51.7,61.0,40.2,5.8,77.4,230.68,11.4
Wroclaw,PL004C1,PL51,PL,2014,8.1,64.7,27.2,84.0,40.8,9.1,77.4,226.01,14.1
Zagreb,HR001C1,HR04,HR,2014,19.6,59.5,20.8,64.0,39.7,17.4,79.3,300.41,11.1
Zurich,CH001C1,CH04,CH,2014,11.3,42.9,45.8,21.0,34.5,4.1,83.4,501.13,7.8
Amsterdam,NL002C1,NL32,NL,2015,20.2,38.2,41.6,28.0,30.3,6.2,81.6,468.24,9.9
Ankara,TR001C1,TR51,TR,2015,49.9,22.7,27.4,75.0,46.8,11.1,79.3,318.5,46.3
Antwerp,BE002C1,BE2,BE,2015,22.9,39.9,37.2,61.0,37.4,5.2,82.0,252.22,8.4
Athens,EL001C1,EL30,EL,2015,18.0,44.9,37.0,54.0,40.3,25.2,80.7,753.96,15.1
Barcelona,ES002C1,ES51,ES,2015,41.2,21.2,37.5,39.0,37.7,18.6,83.4,358.91,9.4
Valencia,ES003C1,ES51,ES,2015,41.2,21.2,37.5,39.0,37.7,18.6,82.5,355.25,10.8
Belfast,UK012C1,UKN0,UK,2015,27.3,39.1,33.6,40.0,36.6,6.1,80.4,277.11,11.7
Belgrade, -,RS11,RS,2015,9.6,56.1,34.3,69.9,42.7,18.7,76.4,307.81,8.45
Bergen,NO002C1,NO05,NO,2015,16.0,40.8,43.2,16.0,33.8,3.9,83.1,433.68,5.7
Berlin,DE001C1,DE30,DE,2015,15.1,48.3,36.6,14.0,35.5,9.5,80.5,524.73,5.3
Birmingham,UK002C1,UKG3,UK,2015,29.5,37.6,32.9,20.0,36.5,7.9,80.7,277.11,13.1
Bologna,IT009C1,ITH5,IT,2015,34.6,45.1,20.3,73.0,37.6,7.8,83.2,405.48,15.4
Brasov,RO504C1,RO12,RO,2015,25.4,56.9,17.8,92.0,40.4,7.4,75.5,284.48,19.3
Bratislava,SK001C1,SK01,SK,2015,4.9,57.6,37.5,48.0,41.8,5.7,78.5,666.37,11.8
Bristol,UK011C1,UKK1,UK,2015,16.6,37.8,45.6,36.0,36.2,3.9,82.0,277.11,10.8
Brno,CZ002C1,CZ06,CZ,2015,5.4,70.3,24.3,78.0,40.6,4.9,77.5,342.43,16.9
Brussels,BE001C1,BE1,BE,2015,30.2,26.4,43.4,24.0,37.4,17.3,80.9,379.23,11.1
Bucharest,RO001C1,RO32,RO,2015,14.5,51.9,33.6,55.0,40.3,5.3,76.7,284.48,14.2
Budapest,HU001C1,HU11,HU,2015,7.9,47.4,44.7,30.0,40.4,5.1,77.8,508.95,15.3
Bursa,TR005C1,TR41,TR,2015,62.3,20.8,17.0,85.0,48.5,7.7,77.6,168.79,44.1
Cambridge,UK017C1,UKH1,UK,2015,21.7,42.8,35.6,41.0,36.7,4.3,82.1,277.11,9.5
Cluj-Napoca,RO002C1,RO11,RO,2015,24.4,58.1,17.4,99.0,39.9,4.6,75.5,360.55,17.2
Cologne,DE004C1,DEA2,DE,2015,17.7,53.8,28.5,28.0,35.3,4.8,80.8,417.28,10.0
Constanta,RO501C1,RO22,RO,2015,30.4,56.8,12.9,107.0,40.2,9.0,74.7,209.64,13.0
Copenhagen,DK001C1,DK01,DK,2015,16.7,35.5,47.8,20.0,33.3,6.8,80.6,463.27,6.7
Cork,IE002C1,IE05,IE,2015,20.5,39.3,40.3,42.0,35.8,10.7,81.0,311.91,12.4
Dublin,IE001C1,IE06,IE,2015,16.9,33.8,49.2,20.0,36.0,9.4,81.7,311.91,12.5
Dusseldorf,DE011C1,DEA1,DE,2015,18.6,56.6,24.8,26.0,35.1,5.9,80.1,417.28,10.8
Edinburgh,UK007C1,UKM7,UK,2015,16.7,32.4,50.9,6.0,36.5,6.0,79.6,277.11,7.1
Eindhoven,NL005C1,NL41,NL,2015,25.2,41.6,33.2,47.0,30.2,6.5,81.5,246.02,12.3
Frankfurt,DE005C1,DE71,DE,2015,15.3,52.3,32.3,32.0,35.4,4.1,81.3,395.61,10.3
Gdansk,PL006C1,PL63,PL,2015,10.1,61.8,28.1,75.0,41.3,6.6,78.0,226.09,16.1
Geneva,CH002C1,CH01,CH,2015,16.5,44.3,39.2,28.0,35.3,7.5,83.4,483.5,10.5
Gent,BE003C1,BE23,BE,2015,24.4,38.1,37.5,68.0,37.5,4.4,81.5,276.0,6.3
Glasgow,UK004C1,UKM3,UK,2015,19.2,33.7,47.2,25.0,36.5,5.8,80.1,277.11,7.1
Gothenburg,SE002C1,SE23,SE,2015,16.4,44.4,39.2,27.0,36.3,6.6,82.4,421.43,3.7
Hamburg,DE002C1,DE60,DE,2015,14.7,50.4,34.9,11.0,36.0,4.3,80.9,611.85,6.9
Iasi,RO502C1,RO21,RO,2015,31.8,56.7,11.6,100.0,39.9,3.6,74.3,209.64,13.0
Istanbul,TR012C1,TR10,TR,2015,60.4,18.7,20.8,40.0,49.2,12.8,78.5,198.36,44.0
Izmir,TR013C1,TR31,TR,2015,59.6,19.9,20.5,83.0,46.6,14.9,78.7,241.41,39.2
Kaunas,LT002C1,LT02,LT,2015,7.6,58.3,34.1,90.0,38.2,9.8,75.0,559.74,2.9
Krakow (Cracow),PL003C1,PL2,PL,2015,6.7,66.5,26.8,58.0,40.3,7.2,78.8,230.46,13.9
Leeds,UK003C1,UKE4,UK,2015,24.4,40.5,35.1,21.0,36.2,6.6,80.0,277.11,10.5
Limassol,CY501C1,CY00,CY,2015,22.1,37.5,40.5,67.0,39.5,15.0,81.8,359.34,8.3
Lisbon,PT001C1,PT17,PT,2015,41.2,26.3,32.5,31.0,39.9,13.1,81.6,603.75,3.9
Ljubljana,SI001C1,SI04,SI,2015,11.1,53.9,35.0,58.0,39.1,7.5,80.9,311.27,9.4
London,UK001K2,UKI,UK,2015,15.8,29.1,55.1,16.0,37.9,6.3,82.2,277.11,15.12
Luxembourg,LU001C1,LU00,LU,2015,24.0,34.9,41.1,64.0,37.4,6.7,82.4,290.73,11.7
Lyon,FR003C2,FRK2,FR,2015,18.7,43.8,37.5,51.0,37.4,9.1,83.2,309.36,7.5
Madrid,ES001C1,ES30,ES,2015,28.5,24.6,46.9,17.0,38.4,17.1,84.5,473.63,9.1
Manchester,UK008C1,UKD3,UK,2015,21.9,39.2,38.9,18.0,36.6,6.5,79.5,277.11,14.0
Milan,IT002C1,ITC4,IT,2015,36.9,43.8,19.3,48.0,37.5,7.9,83.2,354.45,17.2
Munich,DE003L1,DE21,DE,2015,9.4,53.5,37.1,38.0,36.2,2.7,82.1,433.21,9.7
Nicosia,CY001C1,CY0,CY,2015,22.1,37.5,40.5,67.0,39.5,15.0,81.8,359.34,8.3
Oslo,NO001C1,NO01,NO,2015,14.6,32.0,53.5,11.0,34.3,4.7,81.3,522.43,3.6
Paris,FR001C1,FR10,FR,2015,20.7,33.0,46.3,28.0,37.9,9.6,83.9,394.8,6.6
Porto,PT002C1,PT11,PT,2015,61.5,19.8,18.7,43.0,39.6,13.8,81.7,447.63,9.3
Poznan,PL005C1,PL41,PL,2015,8.4,65.9,25.7,71.0,41.6,5.8,77.4,151.65,17.5
Prague,CZ001C1,CZ01,CZ,2015,3.3,56.2,40.5,23.0,40.8,2.8,80.3,726.54,17.2
Reykjavik,IS001C1,IS00,IS,2015,25.0,36.0,39.0,20.0,39.6,4.0,82.5,377.55,6.3
Riga,LV001C1,LV00,LV,2015,9.9,58.5,31.6,95.0,39.0,9.9,74.8,341.49,4.1
Rome,IT001C1,ITI4,IT,2015,30.4,46.3,23.3,63.0,36.2,11.8,83.0,443.96,17.7
Rotterdam,NL003C1,NL33,NL,2015,24.9,38.9,36.1,24.0,30.6,7.8,81.8,339.2,12.3
The Hague (Den Haag),NL001C1,NL33,NL,2015,24.9,38.9,36.1,24.0,30.6,7.8,81.8,339.2,12.3
Seville (Sevilla),ES004C1,ES61,ES,2015,51.4,20.2,28.3,31.0,37.0,31.6,81.6,294.81,13.4
Sofia,BG001C1,BG41,BG,2015,9.1,52.3,38.6,72.0,40.4,6.7,74.1,422.88,2.7
Stockholm,SE001C1,SE11,SE,2015,13.5,37.8,48.7,6.0,36.5,7.0,82.7,475.04,4.4
Stuttgart,DE007C1,DE11,DE,2015,13.8,53.8,32.4,32.0,34.9,3.4,81.9,399.45,9.8
Tallinn,EE001C1,EE00,EE,2015,11.3,50.5,38.1,51.0,38.6,6.2,78.0,341.49,7.9
Thessaloniki,EL002C1,EL52,EL,2015,31.8,39.1,29.1,65.0,41.9,26.0,81.7,505.36,19.0
Timisoara,RO003C1,RO42,RO,2015,20.0,63.9,16.1,116.0,40.0,5.4,74.6,360.55,17.2
Trieste,IT015C1,ITH4,IT,2015,34.5,47.8,17.6,57.0,37.0,8.0,82.8,385.08,18.5
Trondheim,NO003C1,NO06,NO,2015,13.4,42.6,44.0,25.0,33.4,3.7,83.1,446.11,2.9
Turin,IT004C1,ITC1,IT,2015,38.6,44.8,16.6,56.0,37.8,10.3,82.5,348.91,14.8
Varna,BG003C1,BG33,BG,2015,22.2,52.4,25.4,112.0,41.4,10.3,74.1,376.79,12.1
Vienna,AT001C1,AT13,AT,2015,17.1,43.6,39.3,7.0,36.2,10.6,80.4,683.97,5.5
Vilnius,LT001C1,LT01,LT,2015,3.6,45.9,50.5,63.0,38.8,7.6,74.6,433.92,1.4
Warsaw,PL001C1,PL91,PL,2015,4.0,43.9,52.1,61.0,40.3,4.9,77.1,232.81,9.8
Wroclaw,PL004C1,PL51,PL,2015,8.7,64.1,27.2,64.0,40.7,7.0,77.2,228.15,15.0
Zagreb,HR001C1,HR04,HR,2015,19.4,58.7,21.8,73.0,39.5,15.9,78.6,303.09,11.0
Zurich,CH001C1,CH04,CH,2015,11.2,40.3,48.4,16.0,34.7,4.1,83.2,510.99,9.8
Amsterdam,NL002C1,NL32,NL,2016,19.8,37.3,42.9,31.0,30.7,5.5,81.6,473.12,10.2
Ankara,TR001C1,TR51,TR,2016,49.6,21.7,28.6,73.0,45.7,11.4,79.2,312.65,44.6
Antwerp,BE002C1,BE2,BE,2016,22.6,39.5,37.9,52.0,37.3,4.8,82.4,260.59,11.0
Athens,EL001C1,EL30,EL,2016,18.0,44.0,38.0,53.0,40.6,23.0,81.0,807.88,16.4
Barcelona,ES002C1,ES51,ES,2016,39.6,21.9,38.6,38.0,37.5,15.7,83.9,326.11,9.4
Valencia,ES003C1,ES51,ES,2016,39.6,21.9,38.6,38.0,37.5,15.7,83.0,374.46,11.5
Belfast,UK012C1,UKN0,UK,2016,26.2,39.4,34.4,37.0,36.3,5.7,80.8,278.2,9.4
Belgrade, -,RS11,RS,2016,9.4,56.7,33.9,72.8,42.5,15.7,76.6,295.44,8.3
Bergen,NO002C1,NO05,NO,2016,15.3,42.1,42.6,18.0,33.5,4.8,82.7,446.39,2.5
Berlin,DE001C1,DE30,DE,2016,13.8,47.1,39.1,16.0,35.7,7.8,80.9,529.14,6.0
Birmingham,UK002C1,UKG3,UK,2016,29.7,37.8,32.5,21.0,36.0,7.6,80.9,278.2,16.4
Bologna,IT009C1,ITH5,IT,2016,33.6,45.7,20.7,69.0,37.5,7.0,83.7,419.09,13.7
Brasov,RO504C1,RO12,RO,2016,23.2,59.3,17.5,99.0,40.3,5.2,75.8,295.66,18.8
Bratislava,SK001C1,SK01,SK,2016,4.3,56.7,39.0,44.0,41.8,5.1,78.9,655.75,10.7
Bristol,UK011C1,UKK1,UK,2016,16.4,37.8,45.8,29.0,36.1,3.7,82.0,278.2,9.5
Brno,CZ002C1,CZ06,CZ,2016,4.6,69.8,25.6,51.0,40.4,3.7,78.0,341.99,16.7
Brussels,BE001C1,BE1,BE,2016,29.1,26.9,44.1,14.0,37.1,16.8,81.3,381.86,11.0
Bucharest,RO001C1,RO32,RO,2016,13.0,51.9,35.1,58.0,40.3,4.7,76.7,295.66,12.4
Budapest,HU001C1,HU11,HU,2016,8.4,49.8,41.9,32.0,39.9,4.3,78.3,484.67,12.8
Bursa,TR005C1,TR41,TR,2016,61.0,21.2,17.8,81.0,47.4,9.0,77.6,167.29,44.2
Cambridge,UK017C1,UKH1,UK,2016,22.6,39.6,37.8,45.0,36.7,3.8,82.2,278.2,10.1
Cluj-Napoca,RO002C1,RO11,RO,2016,24.5,58.1,17.4,91.0,40.0,4.3,75.8,369.99,17.4
Cologne,DE004C1,DEA2,DE,2016,17.3,52.4,30.3,30.0,35.1,3.9,81.2,422.1,8.9
Constanta,RO501C1,RO22,RO,2016,28.2,58.9,12.9,112.0,40.1,7.7,74.4,221.42,13.9
Copenhagen,DK001C1,DK01,DK,2016,15.1,35.7,49.2,29.0,33.1,6.2,80.8,472.39,5.3
Cork,IE002C1,IE05,IE,2016,19.5,39.7,40.9,40.0,36.0,8.6,80.9,319.18,12.4
Dublin,IE001C1,IE06,IE,2016,16.8,33.6,49.6,34.0,36.0,8.2,82.2,319.18,12.2
Dusseldorf,DE011C1,DEA1,DE,2016,18.9,54.6,26.5,23.0,35.3,4.9,80.4,422.1,10.3
Edinburgh,UK007C1,UKM7,UK,2016,16.6,32.5,50.9,18.0,36.0,4.8,79.7,278.2,8.0
Eindhoven,NL005C1,NL41,NL,2016,24.7,40.9,34.4,45.0,30.5,5.3,81.6,249.08,11.9
Frankfurt,DE005C1,DE71,DE,2016,15.8,50.8,33.3,34.0,35.1,4.0,81.9,399.02,10.8
Gdansk,PL006C1,PL63,PL,2016,8.9,60.5,30.6,63.0,41.1,5.7,78.3,237.83,16.8
Geneva,CH002C1,CH01,CH,2016,16.9,42.2,40.9,26.0,35.4,7.6,84.2,485.2,9.0
Gent,BE003C1,BE23,BE,2016,23.2,37.2,39.6,56.0,37.5,4.2,82.2,280.96,8.1
Glasgow,UK004C1,UKM3,UK,2016,20.0,32.2,47.8,13.3,36.2,5.1,79.8,278.2,8.0
Gothenburg,SE002C1,SE23,SE,2016,15.5,44.4,40.0,34.0,36.6,6.5,82.5,430.12,3.3
Hamburg,DE002C1,DE60,DE,2016,14.2,49.4,36.4,16.0,36.2,4.1,81.2,614.42,7.1
Iasi,RO502C1,RO21,RO,2016,30.7,57.7,11.5,106.0,40.0,3.0,74.6,221.42,13.9
Istanbul,TR012C1,TR10,TR,2016,58.7,18.7,22.6,38.0,48.0,13.5,78.5,216.45,42.6
Izmir,TR013C1,TR31,TR,2016,58.5,19.8,21.6,80.0,45.3,13.9,78.5,233.87,38.8
Kaunas,LT002C1,LT02,LT,2016,6.5,58.9,34.6,70.0,38.4,8.9,75.3,575.58,1.8
Krakow (Cracow),PL003C1,PL2,PL,2016,6.7,64.7,28.6,56.0,40.3,5.3,79.3,243.99,15.0
Leeds,UK003C1,UKE4,UK,2016,26.6,38.7,34.7,16.0,36.2,5.8,80.3,278.2,10.4
Limassol,CY501C1,CY00,CY,2016,20.5,37.6,41.9,54.0,39.2,13.0,82.7,376.84,9.7
Lisbon,PT001C1,PT17,PT,2016,40.4,27.3,32.3,30.0,39.8,11.9,81.7,619.06,2.0
Ljubljana,SI001C1,SI04,SI,2016,11.3,53.4,35.3,57.0,39.1,7.1,81.2,315.84,8.1
London,UK001K2,UKI,UK,2016,14.9,28.1,57.0,13.0,38.1,5.6,82.9,278.2,15.62
Luxembourg,LU001C1,LU00,LU,2016,21.6,35.8,42.6,56.0,37.5,6.3,82.7,288.45,11.0
Lyon,FR003C2,FRK2,FR,2016,17.9,43.8,38.3,54.0,37.5,8.1,83.6,310.28,7.1
Madrid,ES001C1,ES30,ES,2016,28.9,24.5,46.6,19.0,38.3,15.7,85.2,463.22,9.0
Manchester,UK008C1,UKD3,UK,2016,23.0,37.6,39.4,20.0,36.4,6.1,79.7,278.2,7.4
Milan,IT002C1,ITC4,IT,2016,36.8,43.9,19.3,43.0,37.5,7.4,84.0,366.76,17.7
Munich,DE003L1,DE21,DE,2016,9.9,51.7,38.4,41.0,36.1,2.4,82.5,437.79,9.3
Nicosia,CY001C1,CY0,CY,2016,20.5,37.6,41.9,54.0,39.2,13.0,82.7,376.84,9.7
Oslo,NO001C1,NO01,NO,2016,15.7,30.8,53.4,13.0,34.6,4.6,83.0,529.57,4.0
Paris,FR001C1,FR10,FR,2016,19.9,32.8,47.3,24.0,38.1,9.2,84.2,395.43,7.9
Porto,PT002C1,PT11,PT,2016,59.3,20.5,20.2,39.0,39.6,12.2,81.7,469.04,10.5
Poznan,PL005C1,PL41,PL,2016,8.3,66.1,25.6,72.0,41.5,4.8,78.0,158.01,17.6
Prague,CZ001C1,CZ01,CZ,2016,2.8,53.9,43.3,21.0,40.2,2.2,80.6,742.42,15.7
Reykjavik,IS001C1,IS00,IS,2016,21.8,37.7,40.5,10.0,39.3,3.0,82.2,385.17,6.7
Riga,LV001C1,LV00,LV,2016,9.3,57.4,33.4,80.0,38.7,9.6,74.9,345.65,2.9
Rome,IT001C1,ITI4,IT,2016,30.9,46.1,23.1,59.0,36.5,11.2,83.6,458.27,18.0
Rotterdam,NL003C1,NL33,NL,2016,23.2,40.2,36.6,19.0,30.9,7.1,81.8,344.34,11.6
The Hague (Den Haag),NL001C1,NL33,NL,2016,23.2,40.2,36.6,19.0,30.9,7.1,81.8,344.34,11.6
Seville (Sevilla),ES004C1,ES61,ES,2016,50.8,20.0,29.1,36.0,37.3,28.9,82.2,305.48,14.3
Sofia,BG001C1,BG41,BG,2016,8.9,51.7,39.4,60.0,40.5,5.4,74.4,431.15,4.2
Stockholm,SE001C1,SE11,SE,2016,12.7,36.9,50.4,12.0,36.5,6.5,82.9,477.95,4.6
Stuttgart,DE007C1,DE11,DE,2016,14.5,52.4,33.1,30.0,34.9,3.3,82.2,402.28,9.9
Tallinn,EE001C1,EE00,EE,2016,10.9,50.2,38.9,54.0,38.4,6.8,78.0,345.65,8.2
Thessaloniki,EL002C1,EL52,EL,2016,29.2,39.5,31.3,76.0,42.5,24.5,81.9,511.5,20.1
Timisoara,RO003C1,RO42,RO,2016,18.8,65.7,15.5,99.0,39.9,4.9,75.3,369.99,17.4
Trieste,IT015C1,ITH4,IT,2016,33.5,49.1,17.4,55.0,37.1,7.6,83.5,395.89,16.8
Trondheim,NO003C1,NO06,NO,2016,14.1,42.6,43.2,31.0,33.4,4.0,82.8,455.06,3.7
Turin,IT004C1,ITC1,IT,2016,39.1,43.9,17.0,56.0,37.8,9.4,83.3,359.25,13.5
Varna,BG003C1,BG33,BG,2016,22.2,52.3,25.5,105.0,41.2,9.8,74.4,384.88,12.7
Vienna,AT001C1,AT13,AT,2016,16.9,43.2,39.9,10.0,36.0,11.3,80.9,681.16,5.2
Vilnius,LT001C1,LT01,LT,2016,2.5,45.1,52.4,58.0,38.7,5.6,74.9,446.69,2.7
Warsaw,PL001C1,PL91,PL,2016,3.7,43.0,53.3,61.0,40.4,3.7,77.1,241.58,9.7
Wroclaw,PL004C1,PL51,PL,2016,8.7,62.5,28.8,79.0,40.3,5.5,77.7,233.72,15.4
Zagreb,HR001C1,HR04,HR,2016,19.7,57.2,23.1,72.0,39.4,12.6,79.4,303.49,10.1
Zurich,CH001C1,CH04,CH,2016,10.1,39.2,50.8,15.0,34.7,3.9,83.9,520.78,8.8
Amsterdam,NL002C1,NL32,NL,2017,18.4,37.2,44.4,29.0,30.8,4.5,82.0,477.75,8.5
Ankara,TR001C1,TR51,TR,2017,49.4,21.7,28.8,73.0,44.9,11.3,79.4,313.86,43.4
Antwerp,BE002C1,BE2,BE,2017,20.6,38.6,40.8,46.0,38.1,4.4,82.4,263.1,11.7
Athens,EL001C1,EL30,EL,2017,17.2,44.4,38.4,43.0,40.5,21.6,80.9,791.92,17.0
Barcelona,ES002C1,ES51,ES,2017,39.2,21.5,39.3,38.0,37.4,13.4,83.6,350.72,9.2
Valencia,ES003C1,ES51,ES,2017,39.2,21.5,39.3,38.0,37.4,13.4,82.8,378.69,12.8
Belfast,UK012C1,UKN0,UK,2017,27.4,37.0,35.6,34.0,36.5,4.6,80.6,281.1,8.0
Belgrade, -,RS11,RS,2017,8.8,55.0,36.2,72.8,42.3,13.4,76.8,295.88,9.25
Bergen,NO002C1,NO05,NO,2017,14.8,42.4,42.8,26.0,33.5,4.0,83.4,463.55,1.3
Berlin,DE001C1,DE30,DE,2017,13.7,45.7,40.5,10.0,35.4,7.0,81.2,534.53,6.9
Birmingham,UK002C1,UKG3,UK,2017,28.7,38.7,32.6,20.0,36.2,7.2,81.0,281.1,13.0
Bologna,IT009C1,ITH5,IT,2017,33.0,45.8,21.2,85.0,37.8,6.6,83.6,422.31,14.2
Brasov,RO504C1,RO12,RO,2017,20.4,61.7,17.9,94.0,40.2,4.2,75.9,301.5,19.0
Bratislava,SK001C1,SK01,SK,2017,3.8,53.5,42.7,39.0,41.2,4.2,78.6,635.4,6.8
Bristol,UK011C1,UKK1,UK,2017,15.0,37.2,47.8,31.0,36.5,4.0,82.3,281.1,10.1
Brno,CZ002C1,CZ06,CZ,2017,5.1,69.4,25.5,61.0,40.2,3.1,77.8,341.55,15.4
Brussels,BE001C1,BE1,BE,2017,27.1,26.3,46.6,20.0,37.3,14.9,81.2,382.69,12.4
Bucharest,RO001C1,RO32,RO,2017,10.9,53.0,36.1,63.0,40.2,4.3,76.7,301.5,12.6
Budapest,HU001C1,HU11,HU,2017,7.8,50.4,41.7,28.0,39.8,2.9,78.2,541.74,14.9
Bursa,TR005C1,TR41,TR,2017,60.2,20.9,18.8,90.0,46.4,9.7,78.1,168.79,42.1
Cambridge,UK017C1,UKH1,UK,2017,21.5,40.5,38.0,45.0,36.8,3.9,82.2,281.1,9.4
Cluj-Napoca,RO002C1,RO11,RO,2017,24.4,58.5,17.1,88.0,39.9,3.6,75.9,385.74,17.2
Cologne,DE004C1,DEA2,DE,2017,17.0,52.7,30.3,27.0,35.0,3.7,81.2,429.17,8.7
Constanta,RO501C1,RO22,RO,2017,27.6,59.7,12.7,106.0,40.0,6.5,74.6,234.52,14.0
Copenhagen,DK001C1,DK01,DK,2017,15.3,35.0,49.7,18.0,33.0,6.2,81.0,478.39,5.1
Cork,IE002C1,IE05,IE,2017,18.1,39.3,42.6,36.0,36.1,7.0,81.8,325.75,12.9
Dublin,IE001C1,IE06,IE,2017,16.1,33.2,50.7,25.0,36.4,6.7,82.4,325.75,11.9
Dusseldorf,DE011C1,DEA1,DE,2017,18.9,55.0,26.1,23.0,35.2,4.3,80.5,429.17,9.8
Edinburgh,UK007C1,UKM7,UK,2017,16.5,31.7,51.8,12.0,36.1,3.7,79.8,281.1,7.4
Eindhoven,NL005C1,NL41,NL,2017,23.5,42.1,34.4,39.0,30.5,4.2,81.7,254.88,10.6
Frankfurt,DE005C1,DE71,DE,2017,15.8,49.9,34.4,28.0,35.2,3.5,81.8,406.06,9.3
Gdansk,PL006C1,PL63,PL,2017,8.2,58.9,32.8,59.0,41.1,4.2,78.4,238.04,16.7
Geneva,CH002C1,CH01,CH,2017,16.1,41.8,42.2,27.0,35.3,7.9,83.9,489.12,8.6
Gent,BE003C1,BE23,BE,2017,21.0,36.5,42.6,42.0,38.0,3.4,82.2,281.62,10.3
Glasgow,UK004C1,UKM3,UK,2017,19.5,33.0,47.5,11.7,36.4,4.1,79.5,281.1,7.4
Gothenburg,SE002C1,SE23,SE,2017,14.9,44.5,40.6,24.0,36.5,6.0,82.5,431.79,4.6
Hamburg,DE002C1,DE60,DE,2017,15.7,48.6,35.7,15.0,36.0,4.2,81.1,622.08,8.0
Iasi,RO502C1,RO21,RO,2017,30.0,57.9,12.1,103.0,39.7,2.9,74.4,234.52,14.0
Istanbul,TR012C1,TR10,TR,2017,57.4,19.2,23.4,37.0,47.8,13.8,78.9,205.78,41.6
Izmir,TR013C1,TR31,TR,2017,56.5,19.8,23.7,79.0,45.1,14.0,78.8,256.37,38.7
Kaunas,LT002C1,LT02,LT,2017,6.4,58.8,34.7,72.0,38.3,8.1,76.3,586.39,2.0
Krakow (Cracow),PL003C1,PL2,PL,2017,6.0,63.6,30.5,56.0,40.1,4.0,79.1,245.59,13.2
Leeds,UK003C1,UKE4,UK,2017,25.5,38.8,35.7,19.0,36.1,4.8,80.4,281.1,11.5
Limassol,CY501C1,CY00,CY,2017,18.9,38.6,42.5,62.0,39.3,11.1,82.2,386.84,9.5
Lisbon,PT001C1,PT17,PT,2017,39.7,27.6,32.6,34.0,40.0,9.5,82.0,631.44,4.6
Ljubljana,SI001C1,SI04,SI,2017,10.4,52.0,37.5,41.0,38.9,6.4,81.2,320.41,8.8
London,UK001K2,UKI,UK,2017,14.7,28.8,56.5,15.0,38.0,5.3,82.9,281.1,14.28
Luxembourg,LU001C1,LU00,LU,2017,23.6,36.4,39.9,42.0,37.4,5.5,82.1,298.49,7.9
Lyon,FR003C2,FRK2,FR,2017,17.3,43.5,39.2,49.0,37.3,7.3,83.5,313.0,7.9
Madrid,ES001C1,ES30,ES,2017,27.1,25.9,47.0,19.0,38.1,13.4,85.1,445.5,9.0
Manchester,UK008C1,UKD3,UK,2017,22.0,39.5,38.5,8.0,36.0,4.0,79.7,281.1,6.5
Milan,IT002C1,ITC4,IT,2017,35.9,43.6,20.4,42.0,37.6,6.4,83.8,369.54,17.3
Munich,DE003L1,DE21,DE,2017,9.4,51.1,39.5,36.0,36.2,2.2,82.5,442.11,9.2
Nicosia,CY001C1,CY0,CY,2017,18.9,38.6,42.5,62.0,39.3,11.1,82.2,386.84,9.5
Oslo,NO001C1,NO01,NO,2017,15.8,29.9,54.3,10.0,34.5,4.6,83.2,543.89,3.8
Paris,FR001C1,FR10,FR,2017,20.5,31.6,47.9,26.0,38.1,8.7,84.2,393.88,8.1
Porto,PT002C1,PT11,PT,2017,58.0,21.4,20.5,52.0,39.8,9.8,82.0,490.03,9.6
Poznan,PL005C1,PL41,PL,2017,6.9,67.8,25.2,85.0,41.0,3.1,77.9,161.29,18.3
Prague,CZ001C1,CZ01,CZ,2017,2.4,52.0,45.6,14.0,40.4,1.7,80.8,758.3,16.8
Reykjavik,IS001C1,IS00,IS,2017,22.7,34.8,42.5,20.0,39.1,2.7,82.6,387.3,6.0
Riga,LV001C1,LV00,LV,2017,9.6,56.5,33.9,70.0,38.8,8.7,74.9,346.82,4.3
Rome,IT001C1,ITI4,IT,2017,30.3,44.8,24.9,60.0,36.6,10.7,83.3,459.22,17.9
Rotterdam,NL003C1,NL33,NL,2017,22.0,40.4,37.6,27.0,30.7,5.6,82.0,353.15,11.9
The Hague (Den Haag),NL001C1,NL33,NL,2017,22.0,40.4,37.6,27.0,30.7,5.6,82.0,353.15,11.9
Seville (Sevilla),ES004C1,ES61,ES,2017,50.5,19.9,29.6,36.0,37.3,25.5,82.1,323.23,15.1
Sofia,BG001C1,BG41,BG,2017,8.1,52.7,39.2,63.0,40.4,3.3,74.2,447.57,5.9
