City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8,Deaths_in_road_accidents,Average Working Hours,Unemployment_Rate,E_Life_expextancy_at_birth,E_Med_Doctors_per_100000,Gender_Employment_Gap
Nicosia,CY001C1,CY0,CY,2012,22.6,38.2,39.3,59.0,39.9,11.9,81.1,301.64,11.3
Oslo,NO001C1,NO01,NO,2012,14.0,35.9,50.1,17.0,34.4,3.2,81.8,506.97,4.5
Paris,FR001C1,FR10,FR,2012,26.4,32.4,41.2,27.0,38.9,8.1,83.6,395.21,9.0
Porto,PT002C1,PT11,PT,2012,68.8,14.8,16.4,64.0,39.5,16.3,80.9,387.27,10.1
Poznan,PL005C1,PL41,PL,2012,9.1,68.5,22.4,92.0,41.7,8.5,77.1,145.8,20.1
Prague,CZ001C1,CZ01,CZ,2012,3.9,58.6,37.5,24.0,41.1,3.1,79.7,678.9,17.7
Reykjavik,IS001C1,IS00,IS,2012,29.0,35.8,35.2,10.0,39.4,6.0,83.0,356.08,5.3
Riga,LV001C1,LV00,LV,2012,10.9,59.9,29.2,87.0,38.7,15.0,74.1,328.34,3.6
Rome,IT001C1,ITI4,IT,2012,32.4,47.1,20.4,70.0,36.5,10.6,82.6,470.4,19.9
Rotterdam,NL003C1,NL33,NL,2012,27.4,38.8,33.8,27.0,30.8,6.9,81.2,320.64,12.5
The Hague (Den Haag),NL001C1,NL33,NL,2012,27.4,38.8,33.8,27.0,30.8,6.9,81.2,320.64,12.5
Seville (Sevilla),ES004C1,ES61,ES,2012,54.0,19.5,26.5,35.0,37.8,34.4,81.1,273.89,11.1
Sofia,BG001C1,BG41,BG,2012,8.7,58.3,33.0,65.0,40.3,8.2,73.8,408.18,5.6
Stockholm,SE001C1,SE11,SE,2012,14.9,40.7,44.4,15.0,36.6,6.8,82.4,459.03,4.5
Stuttgart,DE007C1,DE11,DE,2012,14.5,53.6,31.8,39.0,35.3,3.4,81.9,390.26,12.3
Tallinn,EE001C1,EE00,EE,2012,10.0,52.3,37.6,66.0,38.8,10.0,76.7,328.34,5.7
Thessaloniki,EL002C1,EL52,EL,2012,35.6,37.3,27.1,85.0,41.9,26.2,80.8,473.7,24.1
Timisoara,RO003C1,RO42,RO,2012,21.6,63.3,15.1,118.0,40.7,5.1,74.1,350.04,13.8
Trieste,IT015C1,ITH4,IT,2012,37.5,45.5,17.1,70.0,37.2,6.8,82.5,376.69,16.2
Trondheim,NO003C1,NO06,NO,2012,15.9,46.5,37.6,19.0,33.8,3.3,82.1,422.55,6.9
Turin,IT004C1,ITC1,IT,2012,42.2,42.6,15.2,66.0,37.5,9.2,82.4,352.62,14.7
Varna,BG003C1,BG33,BG,2012,25.5,52.0,22.5,81.0,41.0,18.3,73.8,371.47,7.8
Vienna,AT001C1,AT13,AT,2012,17.9,54.5,27.5,14.0,37.5,8.9,80.1,664.19,7.4
Vilnius,LT001C1,LT01,LT,2012,3.8,50.4,45.8,68.0,38.7,9.7,74.1,421.85,0.4
Warsaw,PL001C1,PL91,PL,2012,4.4,47.6,48.0,61.0,40.3,6.0,76.5,223.38,10.0
Wroclaw,PL004C1,PL51,PL,2012,10.6,65.7,23.7,83.0,40.8,11.1,76.6,214.71,13.3
Zagreb,HR001C1,HR04,HR,2012,21.9,60.5,17.6,80.0,39.8,16.6,78.6,281.37,11.5
Zurich,CH001C1,CH04,CH,2012,11.7,45.8,42.5,27.0,35.2,3.8,83.0,472.34,11.1
Amsterdam,NL002C1,NL32,NL,2013,21.0,39.8,39.2,26.0,30.2,7.2,81.5,444.45,9.5
Ankara,TR001C1,TR51,TR,2013,51.4,22.8,25.8,32.0,48.1,9.0,79.3,322.28,47.3
Antwerp,BE002C1,BE2,BE,2013,24.6,39.4,36.0,60.0,37.7,5.1,81.5,246.03,11.3
Athens,EL001C1,EL30,EL,2013,20.8,44.0,35.2,54.0,40.6,28.7,81.1,746.6,16.1
Barcelona,ES002C1,ES51,ES,2013,43.9,21.2,34.8,36.0,37.6,23.1,83.4,421.15,7.1
Valencia,ES003C1,ES51,ES,2013,43.9,21.2,34.8,36.0,37.6,23.1,82.8,413.28,11.0
Belfast,UK012C1,UKN0,UK,2013,29.8,37.7,32.5,31.0,36.3,7.5,80.4,271.29,9.1
Belgrade, -,RS11,RS,2013,11.5,57.1,31.4,64.5,42.0,17.9,76.0,310.55,9.0
Bergen,NO002C1,NO05,NO,2013,16.8,44.7,38.6,46.0,33.7,3.1,82.4,420.51,5.1
Berlin,DE001C1,DE30,DE,2013,15.1,47.9,36.9,11.0,35.6,10.4,80.5,479.59,5.4
Birmingham,UK002C1,UKG3,UK,2013,30.0,40.2,29.8,22.0,36.0,13.0,80.8,271.29,13.4
Bologna,IT009C1,ITH5,IT,2013,36.6,45.5,17.8,79.0,37.5,8.4,83.4,410.05,14.4
Brasov,RO504C1,RO12,RO,2013,22.0,63.8,14.3,87.0,40.7,9.5,75.7,277.56,17.5
Bratislava,SK001C1,SK01,SK,2013,4.9,57.7,37.5,29.0,41.7,6.4,78.1,686.72,12.0
Bristol,UK011C1,UKK1,UK,2013,19.7,39.5,40.8,37.0,36.5,6.2,81.7,271.29,10.3
Brno,CZ002C1,CZ06,CZ,2013,6.0,71.4,22.6,63.0,40.4,6.8,77.1,343.31,17.1
Brussels,BE001C1,BE1,BE,2013,32.4,26.1,41.5,21.0,37.3,19.2,80.6,374.34,8.9
Bucharest,RO001C1,RO32,RO,2013,11.6,55.3,33.1,59.0,40.5,8.0,76.6,277.56,13.0
Budapest,HU001C1,HU11,HU,2013,8.0,51.7,40.4,29.0,39.7,8.5,77.9,552.11,12.1
Bursa,TR005C1,TR41,TR,2013,63.9,20.9,15.2,45.0,46.8,6.0,77.6,164.76,43.6
Cambridge,UK017C1,UKH1,UK,2013,20.6,41.9,37.5,42.0,36.8,6.2,82.2,271.29,11.2
Cluj-Napoca,RO002C1,RO11,RO,2013,25.2,60.6,14.2,90.0,40.3,4.1,75.7,345.97,14.6
Cologne,DE004C1,DEA2,DE,2013,18.4,52.3,29.3,27.0,35.2,5.8,80.7,407.18,10.9
Constanta,RO501C1,RO22,RO,2013,29.5,58.1,12.4,108.0,40.6,9.5,74.5,209.24,10.1
Copenhagen,DK001C1,DK01,DK,2013,17.7,35.4,46.9,14.0,33.3,7.7,80.2,456.07,5.1
Cork,IE002C1,IE05,IE,2013,24.0,36.9,39.1,44.0,35.4,14.3,80.5,303.95,10.1
Dublin,IE001C1,IE06,IE,2013,20.9,32.7,46.4,36.0,35.5,13.6,81.3,303.95,10.6
Dusseldorf,DE011C1,DEA1,DE,2013,19.0,56.4,24.6,19.0,35.1,6.4,79.9,407.18,11.9
Edinburgh,UK007C1,UKM7,UK,2013,17.4,34.4,48.2,16.0,36.8,7.5,79.4,271.29,8.0
