,City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8
378,Oslo,NO001C1,NO01,NO,2016,15.7,30.8,53.4
379,Paris,FR001C1,FR10,FR,2016,19.9,32.8,47.3
380,Porto,PT002C1,PT11,PT,2016,59.3,20.5,20.2
381,Poznan,PL005C1,PL41,PL,2016,8.3,66.1,25.6
382,Prague,CZ001C1,CZ01,CZ,2016,2.8,53.9,43.3
383,Reykjavik,IS001C1,IS00,IS,2016,21.8,37.7,40.5
384,Riga,LV001C1,LV00,LV,2016,9.3,57.4,33.4
385,Rome,IT001C1,ITI4,IT,2016,30.9,46.1,23.1
386,Rotterdam,NL003C1,NL33,NL,2016,23.2,40.2,36.6
387,The Hague (Den Haag),NL001C1,NL33,NL,2016,23.2,40.2,36.6
388,Seville (Sevilla),ES004C1,ES61,ES,2016,50.8,20.0,29.1
389,Sofia,BG001C1,BG41,BG,2016,8.9,51.7,39.4
390,Stockholm,SE001C1,SE11,SE,2016,12.7,36.9,50.4
391,Stuttgart,DE007C1,DE11,DE,2016,14.5,52.4,33.1
392,Tallinn,EE001C1,EE00,EE,2016,10.9,50.2,38.9
393,Thessaloniki,EL002C1,EL52,EL,2016,29.2,39.5,31.3
394,Timisoara,RO003C1,RO42,RO,2016,18.8,65.7,15.5
395,Trieste,IT015C1,ITH4,IT,2016,33.5,49.1,17.4
396,Trondheim,NO003C1,NO06,NO,2016,14.1,42.6,43.2
397,Turin,IT004C1,ITC1,IT,2016,39.1,43.9,17.0
398,Varna,BG003C1,BG33,BG,2016,22.2,52.3,25.5
399,Vienna,AT001C1,AT13,AT,2016,16.9,43.2,39.9
400,Vilnius,LT001C1,LT01,LT,2016,2.5,45.1,52.4
401,Warsaw,PL001C1,PL91,PL,2016,3.7,43.0,53.3
402,Wroclaw,PL004C1,PL51,PL,2016,8.7,62.5,28.8
403,Zagreb,HR001C1,HR04,HR,2016,19.7,57.2,23.1
404,Zurich,CH001C1,CH04,CH,2016,10.1,39.2,50.8
405,Amsterdam,NL002C1,NL32,NL,2017,18.4,37.2,44.4
406,Ankara,TR001C1,TR51,TR,2017,49.4,21.7,28.8
407,Antwerp,BE002C1,BE2,BE,2017,20.6,38.6,40.8
408,Athens,EL001C1,EL30,EL,2017,17.2,44.4,38.4
409,Barcelona,ES002C1,ES51,ES,2017,39.2,21.5,39.3
410,Valencia,ES003C1,ES51,ES,2017,39.2,21.5,39.3
411,Belfast,UK012C1,UKN0,UK,2017,27.4,37.0,35.6
412,Belgrade, -,RS11,RS,2017,8.8,55.0,36.2
413,Bergen,NO002C1,NO05,NO,2017,14.8,42.4,42.8
414,Berlin,DE001C1,DE30,DE,2017,13.7,45.7,40.5
415,Birmingham,UK002C1,UKG3,UK,2017,28.7,38.7,32.6
416,Bologna,IT009C1,ITH5,IT,2017,33.0,45.8,21.2
417,Brasov,RO504C1,RO12,RO,2017,20.4,61.7,17.9
418,Bratislava,SK001C1,SK01,SK,2017,3.8,53.5,42.7
419,Bristol,UK011C1,UKK1,UK,2017,15.0,37.2,47.8
420,Brno,CZ002C1,CZ06,CZ,2017,5.1,69.4,25.5
421,Brussels,BE001C1,BE1,BE,2017,27.1,26.3,46.6
422,Bucharest,RO001C1,RO32,RO,2017,10.9,53.0,36.1
423,Budapest,HU001C1,HU11,HU,2017,7.8,50.4,41.7
424,Bursa,TR005C1,TR41,TR,2017,60.2,20.9,18.8
425,Cambridge,UK017C1,UKH1,UK,2017,21.5,40.5,38.0
426,Cluj-Napoca,RO002C1,RO11,RO,2017,24.4,58.5,17.1
427,Cologne,DE004C1,DEA2,DE,2017,17.0,52.7,30.3
428,Constanta,RO501C1,RO22,RO,2017,27.6,59.7,12.7
429,Copenhagen,DK001C1,DK01,DK,2017,15.3,35.0,49.7
430,Cork,IE002C1,IE05,IE,2017,18.1,39.3,42.6
431,Dublin,IE001C1,IE06,IE,2017,16.1,33.2,50.7
432,Dusseldorf,DE011C1,DEA1,DE,2017,18.9,55.0,26.1
433,Edinburgh,UK007C1,UKM7,UK,2017,16.5,31.7,51.8
434,Eindhoven,NL005C1,NL41,NL,2017,23.5,42.1,34.4
435,Frankfurt,DE005C1,DE71,DE,2017,15.8,49.9,34.4
436,Gdansk,PL006C1,PL63,PL,2017,8.2,58.9,32.8
437,Geneva,CH002C1,CH01,CH,2017,16.1,41.8,42.2
438,Gent,BE003C1,BE23,BE,2017,21.0,36.5,42.6
439,Glasgow,UK004C1,UKM3,UK,2017,19.5,33.0,47.5
440,Gothenburg,SE002C1,SE23,SE,2017,14.9,44.5,40.6
441,Hamburg,DE002C1,DE60,DE,2017,15.7,48.6,35.7
442,Iasi,RO502C1,RO21,RO,2017,30.0,57.9,12.1
443,Istanbul,TR012C1,TR10,TR,2017,57.4,19.2,23.4
444,Izmir,TR013C1,TR31,TR,2017,56.5,19.8,23.7
445,Kaunas,LT002C1,LT02,LT,2017,6.4,58.8,34.7
446,Krakow (Cracow),PL003C1,PL2,PL,2017,6.0,63.6,30.5
447,Leeds,UK003C1,UKE4,UK,2017,25.5,38.8,35.7
448,Limassol,CY501C1,CY00,CY,2017,18.9,38.6,42.5
449,Lisbon,PT001C1,PT17,PT,2017,39.7,27.6,32.6
450,Ljubljana,SI001C1,SI04,SI,2017,10.4,52.0,37.5
451,London,UK001K2,UKI,UK,2017,14.7,28.8,56.5
452,Luxembourg,LU001C1,LU00,LU,2017,23.6,36.4,39.9
453,Lyon,FR003C2,FRK2,FR,2017,17.3,43.5,39.2
454,Madrid,ES001C1,ES30,ES,2017,27.1,25.9,47.0
455,Manchester,UK008C1,UKD3,UK,2017,22.0,39.5,38.5
456,Milan,IT002C1,ITC4,IT,2017,35.9,43.6,20.4
457,Munich,DE003L1,DE21,DE,2017,9.4,51.1,39.5
458,Nicosia,CY001C1,CY0,CY,2017,18.9,38.6,42.5
459,Oslo,NO001C1,NO01,NO,2017,15.8,29.9,54.3
460,Paris,FR001C1,FR10,FR,2017,20.5,31.6,47.9
461,Porto,PT002C1,PT11,PT,2017,58.0,21.4,20.5
462,Poznan,PL005C1,PL41,PL,2017,6.9,67.8,25.2
463,Prague,CZ001C1,CZ01,CZ,2017,2.4,52.0,45.6
464,Reykjavik,IS001C1,IS00,IS,2017,22.7,34.8,42.5
465,Riga,LV001C1,LV00,LV,2017,9.6,56.5,33.9
466,Rome,IT001C1,ITI4,IT,2017,30.3,44.8,24.9
467,Rotterdam,NL003C1,NL33,NL,2017,22.0,40.4,37.6
468,The Hague (Den Haag),NL001C1,NL33,NL,2017,22.0,40.4,37.6
469,Seville (Sevilla),ES004C1,ES61,ES,2017,50.5,19.9,29.6
470,Sofia,BG001C1,BG41,BG,2017,8.1,52.7,39.2
471,Stockholm,SE001C1,SE11,SE,2017,13.1,36.0,51.0
472,Stuttgart,DE007C1,DE11,DE,2017,13.9,53.4,32.6
473,Tallinn,EE001C1,EE00,EE,2017,11.2,49.1,39.7
474,Thessaloniki,EL002C1,EL52,EL,2017,27.7,41.2,31.1
475,Timisoara,RO003C1,RO42,RO,2017,18.1,66.0,16.0
476,Trieste,IT015C1,ITH4,IT,2017,32.4,47.7,19.9
477,Trondheim,NO003C1,NO06,NO,2017,15.3,41.9,42.8
478,Turin,IT004C1,ITC1,IT,2017,38.7,43.2,18.1
479,Varna,BG003C1,BG33,BG,2017,22.6,50.6,26.9
480,Vienna,AT001C1,AT13,AT,2017,16.2,41.7,42.1
481,Vilnius,LT001C1,LT01,LT,2017,2.2,44.5,53.3
482,Warsaw,PL001C1,PL91,PL,2017,3.1,40.2,56.7
483,Wroclaw,PL004C1,PL51,PL,2017,7.3,62.9,29.8
484,Zagreb,HR001C1,HR04,HR,2017,18.6,57.7,23.6
485,Zurich,CH001C1,CH04,CH,2017,9.5,38.8,51.6
486,Amsterdam,NL002C1,NL32,NL,2018,18.1,36.6,45.4
487,Ankara,TR001C1,TR51,TR,2018,47.9,22.7,29.4
488,Antwerp,BE002C1,BE2,BE,2018,19.0,39.9,41.1
489,Athens,EL001C1,EL30,EL,2018,17.2,43.5,39.3
490,Barcelona,ES002C1,ES51,ES,2018,37.6,21.6,40.8
491,Valencia,ES003C1,ES51,ES,2018,37.6,21.6,40.8
492,Belfast,UK012C1,UKN0,UK,2018,24.7,38.1,37.2
493,Belgrade, -,RS11,RS,2018,7.8,54.9,37.4
494,Bergen,NO002C1,NO05,NO,2018,14.7,42.0,43.3
495,Berlin,DE001C1,DE30,DE,2018,12.9,44.9,42.1
496,Birmingham,UK002C1,UKG3,UK,2018,26.2,41.2,32.6
497,Bologna,IT009C1,ITH5,IT,2018,31.9,46.1,22.0
498,Brasov,RO504C1,RO12,RO,2018,20.6,61.3,18.1
499,Bratislava,SK001C1,SK01,SK,2018,3.9,52.3,43.8
500,Bristol,UK011C1,UKK1,UK,2018,16.3,38.0,45.7
501,Brno,CZ002C1,CZ06,CZ,2018,4.9,69.3,25.8
502,Brussels,BE001C1,BE1,BE,2018,26.7,25.8,47.5
503,Bucharest,RO001C1,RO32,RO,2018,11.0,51.5,37.5
504,Budapest,HU001C1,HU11,HU,2018,7.1,46.4,46.5
505,Bursa,TR005C1,TR41,TR,2018,58.6,21.3,20.1
506,Cambridge,UK017C1,UKH1,UK,2018,21.8,40.1,38.0
507,Cluj-Napoca,RO002C1,RO11,RO,2018,22.1,60.2,17.7
508,Cologne,DE004C1,DEA2,DE,2018,16.5,53.0,30.5
509,Constanta,RO501C1,RO22,RO,2018,26.6,60.3,13.1
510,Copenhagen,DK001C1,DK01,DK,2018,15.1,34.0,50.8
511,Cork,IE002C1,IE05,IE,2018,17.9,39.6,42.5
512,Dublin,IE001C1,IE06,IE,2018,15.1,33.1,51.7
513,Dusseldorf,DE011C1,DEA1,DE,2018,18.6,55.5,25.9
514,Edinburgh,UK007C1,UKM7,UK,2018,17.1,30.6,52.3
515,Eindhoven,NL005C1,NL41,NL,2018,22.2,41.8,36.0
516,Frankfurt,DE005C1,DE71,DE,2018,15.9,50.2,33.9
517,Gdansk,PL006C1,PL63,PL,2018,8.2,59.0,32.8
518,Geneva,CH002C1,CH01,CH,2018,14.9,41.6,43.6
519,Gent,BE003C1,BE23,BE,2018,18.9,38.4,42.8
520,Glasgow,UK004C1,UKM3,UK,2018,20.5,32.1,47.4
521,Gothenburg,SE002C1,SE23,SE,2018,14.4,43.3,42.2
522,Hamburg,DE002C1,DE60,DE,2018,15.5,47.7,36.9
523,Iasi,RO502C1,RO21,RO,2018,29.2,58.1,12.7
524,Istanbul,TR012C1,TR10,TR,2018,56.4,19.3,24.3
525,Izmir,TR013C1,TR31,TR,2018,55.1,19.5,25.4
526,Kaunas,LT002C1,LT02,LT,2018,6.3,57.7,36.0
527,Krakow (Cracow),PL003C1,PL2,PL,2018,5.3,63.6,31.1
528,Leeds,UK003C1,UKE4,UK,2018,24.6,38.1,37.3
529,Limassol,CY501C1,CY00,CY,2018,17.8,38.1,44.1
530,Lisbon,PT001C1,PT17,PT,2018,38.5,28.7,32.8
531,Ljubljana,SI001C1,SI04,SI,2018,9.6,52.7,37.7
532,London,UK001K2,UKI,UK,2018,14.1,28.5,57.5
533,Luxembourg,LU001C1,LU00,LU,2018,21.4,34.5,44.1
534,Lyon,FR003C2,FRK2,FR,2018,17.0,42.3,40.7
535,Madrid,ES001C1,ES30,ES,2018,27.7,25.1,47.2
536,Manchester,UK008C1,UKD3,UK,2018,22.0,39.2,38.8
537,Milan,IT002C1,ITC4,IT,2018,35.0,43.8,21.2
538,Munich,DE003L1,DE21,DE,2018,9.7,49.7,40.6
539,Nicosia,CY001C1,CY0,CY,2018,17.8,38.1,44.1
540,Oslo,NO001C1,NO01,NO,2018,14.4,31.8,53.8
541,Paris,FR001C1,FR10,FR,2018,20.3,30.4,49.3
542,Porto,PT002C1,PT11,PT,2018,55.6,22.7,21.8
543,Poznan,PL005C1,PL41,PL,2018,7.0,66.5,26.5
544,Prague,CZ001C1,CZ01,CZ,2018,2.9,50.8,46.4
545,Reykjavik,IS001C1,IS00,IS,2018,22.0,34.2,43.8
546,Riga,LV001C1,LV00,LV,2018,9.3,56.7,33.9
547,Rome,IT001C1,ITI4,IT,2018,30.1,44.4,25.6
548,Rotterdam,NL003C1,NL33,NL,2018,21.5,39.6,38.9
549,The Hague (Den Haag),NL001C1,NL33,NL,2018,21.5,39.6,38.9
550,Seville (Sevilla),ES004C1,ES61,ES,2018,49.0,20.7,30.3
551,Sofia,BG001C1,BG41,BG,2018,8.0,52.2,39.8
552,Stockholm,SE001C1,SE11,SE,2018,12.3,35.5,52.3
553,Stuttgart,DE007C1,DE11,DE,2018,13.8,53.4,32.7
554,Tallinn,EE001C1,EE00,EE,2018,10.8,48.1,41.2
555,Thessaloniki,EL002C1,EL52,EL,2018,27.6,40.8,31.7
556,Timisoara,RO003C1,RO42,RO,2018,17.5,66.8,15.7
557,Trieste,IT015C1,ITH4,IT,2018,31.4,47.6,21.1
558,Trondheim,NO003C1,NO06,NO,2018,15.6,40.6,43.8
559,Turin,IT004C1,ITC1,IT,2018,37.1,43.5,19.3
560,Varna,BG003C1,BG33,BG,2018,23.5,51.2,25.3
561,Vienna,AT001C1,AT13,AT,2018,16.6,41.1,42.3
562,Vilnius,LT001C1,LT01,LT,2018,2.7,42.6,54.7
563,Warsaw,PL001C1,PL91,PL,2018,3.0,39.6,57.4
564,Wroclaw,PL004C1,PL51,PL,2018,7.6,60.7,31.7
565,Zagreb,HR001C1,HR04,HR,2018,17.1,58.1,24.8
566,Zurich,CH001C1,CH04,CH,2018,9.4,38.2,52.4
567,Amsterdam,NL002C1,NL32,NL,2019,17.9,33.7,48.5
568,Ankara,TR001C1,TR51,TR,2019,46.2,22.4,31.4
569,Antwerp,BE002C1,BE2,BE,2019,18.4,40.6,41.0
570,Athens,EL001C1,EL30,EL,2019,15.0,44.9,40.2
571,Barcelona,ES002C1,ES51,ES,2019,36.3,21.3,42.4
572,Valencia,ES003C1,ES51,ES,2019,36.3,21.3,42.4
573,Belfast,UK012C1,UKN0,UK,2019,23.8,35.6,40.6
574,Belgrade, -,RS11,RS,2019,7.8,53.8,38.4
575,Bergen,NO002C1,NO05,NO,2019,15.9,41.2,42.9
576,Berlin,DE001C1,DE30,DE,2019,12.3,44.5,43.1
577,Birmingham,UK002C1,UKG3,UK,2019,26.6,38.1,35.3
578,Bologna,IT009C1,ITH5,IT,2019,31.0,46.2,22.8
579,Brasov,RO504C1,RO12,RO,2019,20.9,60.8,18.3
580,Bratislava,SK001C1,SK01,SK,2019,4.0,50.5,45.5
581,Bristol,UK011C1,UKK1,UK,2019,17.8,36.5,45.7
582,Brno,CZ002C1,CZ06,CZ,2019,5.0,69.0,26.0
583,Brussels,BE001C1,BE1,BE,2019,27.6,25.2,47.1
584,Bucharest,RO001C1,RO32,RO,2019,10.5,49.3,40.3
585,Budapest,HU001C1,HU11,HU,2019,6.9,45.6,47.5
586,Bursa,TR005C1,TR41,TR,2019,56.5,22.5,21.0
587,Cambridge,UK017C1,UKH1,UK,2019,20.1,40.8,39.1
588,Cluj-Napoca,RO002C1,RO11,RO,2019,20.0,61.1,18.9
589,Cologne,DE004C1,DEA2,DE,2019,16.6,52.5,30.9
590,Constanta,RO501C1,RO22,RO,2019,25.6,60.6,13.8
591,Copenhagen,DK001C1,DK01,DK,2019,14.1,33.7,52.3
592,Cork,IE002C1,IE05,IE,2019,17.4,39.4,43.2
593,Dublin,IE001C1,IE06,IE,2019,14.8,33.6,51.5
594,Dusseldorf,DE011C1,DEA1,DE,2019,18.4,55.1,26.5
595,Edinburgh,UK007C1,UKM7,UK,2019,17.2,29.8,53.0
596,Eindhoven,NL005C1,NL41,NL,2019,20.9,40.9,38.1
597,Frankfurt,DE005C1,DE71,DE,2019,16.0,49.2,34.8
598,Gdansk,PL006C1,PL63,PL,2019,6.8,59.2,34.0
599,Geneva,CH002C1,CH01,CH,2019,14.7,41.7,43.7
600,Gent,BE003C1,BE23,BE,2019,17.7,40.8,41.5
601,Glasgow,UK004C1,UKM3,UK,2019,19.5,30.1,50.4
602,Gothenburg,SE002C1,SE23,SE,2019,13.3,44.4,42.3
603,Hamburg,DE002C1,DE60,DE,2019,15.9,47.0,37.1
604,Iasi,RO502C1,RO21,RO,2019,29.3,59.1,11.7
605,Istanbul,TR012C1,TR10,TR,2019,55.6,19.7,24.7
606,Izmir,TR013C1,TR31,TR,2019,55.6,19.5,25.0
607,Kaunas,LT002C1,LT02,LT,2019,5.9,56.5,37.6
608,Krakow (Cracow),PL003C1,PL2,PL,2019,5.4,62.6,32.1
609,Leeds,UK003C1,UKE4,UK,2019,24.6,37.3,38.1
610,Limassol,CY501C1,CY00,CY,2019,17.5,37.7,44.7
611,Lisbon,PT001C1,PT17,PT,2019,35.5,29.3,35.2
612,Ljubljana,SI001C1,SI04,SI,2019,9.7,51.6,38.7
613,London,UK001K2,UKI,UK,2019,13.6,26.8,59.6
614,Luxembourg,LU001C1,LU00,LU,2019,20.7,32.3,47.0
615,Lyon,FR003C2,FRK2,FR,2019,17.1,41.1,41.8
616,Madrid,ES001C1,ES30,ES,2019,25.9,25.0,49.1
617,Manchester,UK008C1,UKD3,UK,2019,20.5,38.3,41.2
618,Milan,IT002C1,ITC4,IT,2019,35.5,43.4,21.1
619,Munich,DE003L1,DE21,DE,2019,10.0,49.5,40.5
620,Nicosia,CY001C1,CY0,CY,2019,17.5,37.7,44.7
621,Oslo,NO001C1,NO01,NO,2019,14.5,31.6,53.8
622,Paris,FR001C1,FR10,FR,2019,18.3,30.5,51.2
623,Porto,PT002C1,PT11,PT,2019,53.4,23.5,23.1
624,Poznan,PL005C1,PL41,PL,2019,7.0,64.6,28.4
625,Prague,CZ001C1,CZ01,CZ,2019,2.8,51.7,45.5
626,Reykjavik,IS001C1,IS00,IS,2019,21.4,33.5,45.2
627,Riga,LV001C1,LV00,LV,2019,8.8,55.4,35.7
628,Rome,IT001C1,ITI4,IT,2019,29.7,44.2,26.1
629,Rotterdam,NL003C1,NL33,NL,2019,21.0,38.2,40.8
630,The Hague (Den Haag),NL001C1,NL33,NL,2019,21.0,38.2,40.8
631,Seville (Sevilla),ES004C1,ES61,ES,2019,47.8,21.0,31.2
632,Sofia,BG001C1,BG41,BG,2019,8.2,51.2,40.5
633,Stockholm,SE001C1,SE11,SE,2019,12.2,34.8,53.0
634,Stuttgart,DE007C1,DE11,DE,2019,14.3,51.4,34.3
635,Tallinn,EE001C1,EE00,EE,2019,9.8,48.7,41.4
636,Thessaloniki,EL002C1,EL52,EL,2019,22.2,46.4,31.4
637,Timisoara,RO003C1,RO42,RO,2019,16.0,67.7,16.3
638,Trieste,IT015C1,ITH4,IT,2019,29.9,49.4,20.7
639,Trondheim,NO003C1,NO06,NO,2019,15.7,40.3,44.0
640,Turin,IT004C1,ITC1,IT,2019,36.5,44.2,19.3
641,Varna,BG003C1,BG33,BG,2019,24.0,52.8,23.2
642,Vienna,AT001C1,AT13,AT,2019,16.9,40.2,42.9
643,Vilnius,LT001C1,LT01,LT,2019,3.1,41.0,55.9
644,Warsaw,PL001C1,PL91,PL,2019,3.2,41.3,55.5
645,Wroclaw,PL004C1,PL51,PL,2019,7.3,58.3,34.4
646,Zagreb,HR001C1,HR04,HR,2019,16.2,59.6,24.3
647,Zurich,CH001C1,CH04,CH,2019,8.9,36.8,54.3
