City, City_Code, NUTS 2, Country,Year,E_Life_expextancy_at_birth,E_Med_Doctors_per_100000,Gender_Employment_Gap
Manchester,UK008C1,UKD3,UK,2019,NaN,NaN,10.6
Milan,IT002C1,ITC4,IT,2012,82.8,357.99,17.8
Milan,IT002C1,ITC4,IT,2013,83.5,360.2,16
Milan,IT002C1,ITC4,IT,2014,83.9,358.6,15.8
Milan,IT002C1,ITC4,IT,2015,83.2,354.45,17.2
Milan,IT002C1,ITC4,IT,2016,84,366.76,17.7
Milan,IT002C1,ITC4,IT,2017,83.8,369.54,17.3
Milan,IT002C1,ITC4,IT,2018,84,368.24,17.6
Milan,IT002C1,ITC4,IT,2019,NaN,NaN,17.3
Munich,DE003L1,DE21,DE,2012,81.9,411.56,10.7
Munich,DE003L1,DE21,DE,2013,82.1,421.91,10.2
Munich,DE003L1,DE21,DE,2014,82.6,427.04,10.1
Munich,DE003L1,DE21,DE,2015,82.1,433.21,9.7
Munich,DE003L1,DE21,DE,2016,82.5,437.79,9.3
Munich,DE003L1,DE21,DE,2017,82.5,442.11,9.2
Munich,DE003L1,DE21,DE,2018,82.7,448.64,8
Munich,DE003L1,DE21,DE,2019,NaN,NaN,8
Nicosia,CY001C1,CY0,CY,2012,81.1,301.64,11.3
Nicosia,CY001C1,CY0,CY,2013,82.5,319.51,10.4
Nicosia,CY001C1,CY0,CY,2014,82.3,337.83,7.7
Nicosia,CY001C1,CY0,CY,2015,81.8,359.34,8.3
Nicosia,CY001C1,CY0,CY,2016,82.7,376.84,9.7
Nicosia,CY001C1,CY0,CY,2017,82.2,386.84,9.5
Nicosia,CY001C1,CY0,CY,2018,82.9,407.32,10.4
Nicosia,CY001C1,CY0,CY,2019,NaN,NaN,11.6
Oslo,NO001C1,NO01,NO,2012,81.8,506.97,4.5
Oslo,NO001C1,NO01,NO,2013,82.3,509.17,5.3
Oslo,NO001C1,NO01,NO,2014,82.7,529.06,4.7
Oslo,NO001C1,NO01,NO,2015,81.3,522.43,3.6
Oslo,NO001C1,NO01,NO,2016,83,529.57,4
Oslo,NO001C1,NO01,NO,2017,83.2,543.89,3.8
Oslo,NO001C1,NO01,NO,2018,83.4,560.59,4.9
Oslo,NO001C1,NO01,NO,2019,NaN,NaN,5
Paris,FR001C1,FR10,FR,2012,83.6,395.21,9
Paris,FR001C1,FR10,FR,2013,83.9,394.98,7.7
Paris,FR001C1,FR10,FR,2014,84.4,394.85,6.7
Paris,FR001C1,FR10,FR,2015,83.9,394.8,6.6
Paris,FR001C1,FR10,FR,2016,84.2,395.43,7.9
Paris,FR001C1,FR10,FR,2017,84.2,393.88,8.1
Paris,FR001C1,FR10,FR,2018,84.5,389.82,7.4
Paris,FR001C1,FR10,FR,2019,NaN,NaN,7.1
Porto,PT002C1,PT11,PT,2012,80.9,387.27,10.1
Porto,PT002C1,PT11,PT,2013,81.3,408.16,9
Porto,PT002C1,PT11,PT,2014,81.7,424.75,10.3
Porto,PT002C1,PT11,PT,2015,81.7,447.63,9.3
Porto,PT002C1,PT11,PT,2016,81.7,469.04,10.5
Porto,PT002C1,PT11,PT,2017,82,490.03,9.6
Porto,PT002C1,PT11,PT,2018,82,511.33,7.9
Porto,PT002C1,PT11,PT,2019,NaN,NaN,8.3
Poznan,PL005C1,PL41,PL,2012,77.1,145.8,20.1
Poznan,PL005C1,PL41,PL,2013,77.2,147.05,20.7
Poznan,PL005C1,PL41,PL,2014,77.8,159.76,19
Poznan,PL005C1,PL41,PL,2015,77.4,151.65,17.5
Poznan,PL005C1,PL41,PL,2016,78,158.01,17.6
Poznan,PL005C1,PL41,PL,2017,77.9,161.29,18.3
Poznan,PL005C1,PL41,PL,2018,77.6,NaN,16.8
Poznan,PL005C1,PL41,PL,2019,NaN,NaN,17.7
Prague,CZ001C1,CZ01,CZ,2012,79.7,678.9,17.7
Prague,CZ001C1,CZ01,CZ,2013,80.1,694.78,17
Prague,CZ001C1,CZ01,CZ,2014,80.3,NaN,15.8
Prague,CZ001C1,CZ01,CZ,2015,80.3,NaN,17.2
Prague,CZ001C1,CZ01,CZ,2016,80.6,NaN,15.7
Prague,CZ001C1,CZ01,CZ,2017,80.8,NaN,16.8
Prague,CZ001C1,CZ01,CZ,2018,80.8,738.11,16
Prague,CZ001C1,CZ01,CZ,2019,NaN,NaN,15.4
Reykjavik,IS001C1,IS00,IS,2012,83,356.08,5.3
Reykjavik,IS001C1,IS00,IS,2013,82.1,360.76,6.5
Reykjavik,IS001C1,IS00,IS,2014,82.9,364.4,6.3
Reykjavik,IS001C1,IS00,IS,2015,82.5,377.55,6.3
Reykjavik,IS001C1,IS00,IS,2016,82.2,385.17,6.7
Reykjavik,IS001C1,IS00,IS,2017,82.6,387.3,6
Reykjavik,IS001C1,IS00,IS,2018,82.9,389.26,6.3
Reykjavik,IS001C1,IS00,IS,2019,NaN,NaN,5.6
Riga,LV001C1,LV00,LV,2012,74.1,328.34,3.6
Riga,LV001C1,LV00,LV,2013,74.3,333.46,4.2
Riga,LV001C1,LV00,LV,2014,74.5,335.88,4.6
Riga,LV001C1,LV00,LV,2015,74.8,341.49,4.1
Riga,LV001C1,LV00,LV,2016,74.9,345.65,2.9
Riga,LV001C1,LV00,LV,2017,74.9,346.82,4.3
Riga,LV001C1,LV00,LV,2018,75.1,348.34,4.2
Riga,LV001C1,LV00,LV,2019,NaN,NaN,3.8
Rome,IT001C1,ITI4,IT,2012,82.6,470.4,19.9
Rome,IT001C1,ITI4,IT,2013,83.2,465.57,18.7
Rome,IT001C1,ITI4,IT,2014,83.5,453.55,16.7
Rome,IT001C1,ITI4,IT,2015,83,443.96,17.7
Rome,IT001C1,ITI4,IT,2016,83.6,458.27,18
Rome,IT001C1,ITI4,IT,2017,83.3,459.22,17.9
Rome,IT001C1,ITI4,IT,2018,83.9,457.67,17.2
Rome,IT001C1,ITI4,IT,2019,NaN,NaN,16.9
Rotterdam,NL003C1,NL33,NL,2012,81.2,320.64,12.5
Rotterdam,NL003C1,NL33,NL,2013,81.6,325.56,11.8
Rotterdam,NL003C1,NL33,NL,2014,82,333.79,13.1
Rotterdam,NL003C1,NL33,NL,2015,81.8,339.2,12.3
Rotterdam,NL003C1,NL33,NL,2016,81.8,344.34,11.6
Rotterdam,NL003C1,NL33,NL,2017,82,353.15,11.9
Rotterdam,NL003C1,NL33,NL,2018,81.9,363.24,10.7
Rotterdam,NL003C1,NL33,NL,2019,NaN,NaN,10.3
Seville (Sevilla),ES004C1,ES61,ES,2012,81.1,273.89,11.1
Seville (Sevilla),ES004C1,ES61,ES,2013,81.8,260.35,11.3
Seville (Sevilla),ES004C1,ES61,ES,2014,82.1,272.75,12.6
Seville (Sevilla),ES004C1,ES61,ES,2015,81.6,294.81,13.4
Seville (Sevilla),ES004C1,ES61,ES,2016,82.2,305.48,14.3
Seville (Sevilla),ES004C1,ES61,ES,2017,82.1,323.23,15.1
Seville (Sevilla),ES004C1,ES61,ES,2018,82.1,344.94,16.8
Seville (Sevilla),ES004C1,ES61,ES,2019,NaN,NaN,16.1
Sofia,BG001C1,BG41,BG,2012,73.8,408.18,5.6
Sofia,BG001C1,BG41,BG,2013,74.3,416.43,5
Sofia,BG001C1,BG41,BG,2014,74,418.53,3.3
Sofia,BG001C1,BG41,BG,2015,74.1,422.88,2.7
Sofia,BG001C1,BG41,BG,2016,74.4,431.15,4.2
Sofia,BG001C1,BG41,BG,2017,74.2,447.57,5.9
Sofia,BG001C1,BG41,BG,2018,74.4,441.45,5.2
Sofia,BG001C1,BG41,BG,2019,NaN,NaN,5.2
Stockholm,SE001C1,SE11,SE,2012,82.4,459.03,4.5
Stockholm,SE001C1,SE11,SE,2013,82.8,464.1,5
Stockholm,SE001C1,SE11,SE,2014,82.7,471.76,4.1
Stockholm,SE001C1,SE11,SE,2015,82.7,475.04,4.4
Stockholm,SE001C1,SE11,SE,2016,82.9,477.95,4.6
Stockholm,SE001C1,SE11,SE,2017,83.1,478.9,4.1
Stockholm,SE001C1,SE11,SE,2018,83,NaN,2.5
Stockholm,SE001C1,SE11,SE,2019,NaN,NaN,3.2
Stuttgart,DE007C1,DE11,DE,2012,81.9,390.26,12.3
Stuttgart,DE007C1,DE11,DE,2013,82,404.95,11.1
Stuttgart,DE007C1,DE11,DE,2014,82.5,412.45,9.8
Stuttgart,DE007C1,DE11,DE,2015,81.9,399.45,9.8
Stuttgart,DE007C1,DE11,DE,2016,82.2,402.28,9.9
Stuttgart,DE007C1,DE11,DE,2017,82.3,405.54,9.8
Stuttgart,DE007C1,DE11,DE,2018,82.3,408.58,10.1
Stuttgart,DE007C1,DE11,DE,2019,NaN,NaN,9.5
Tallinn,EE001C1,EE00,EE,2012,76.7,328.34,5.7
Tallinn,EE001C1,EE00,EE,2013,77.5,333.46,6.6
Tallinn,EE001C1,EE00,EE,2014,77.4,335.88,7.7
Tallinn,EE001C1,EE00,EE,2015,78,341.49,7.9
Tallinn,EE001C1,EE00,EE,2016,78,345.65,8.2
Tallinn,EE001C1,EE00,EE,2017,78.4,346.82,7.3
Tallinn,EE001C1,EE00,EE,2018,78.5,348.34,7.8
Tallinn,EE001C1,EE00,EE,2019,NaN,NaN,7.7
The Hague (Den Haag),NL001C1,NL33,NL,2012,81.2,320.64,12.5
The Hague (Den Haag),NL001C1,NL33,NL,2013,81.6,325.56,11.8
The Hague (Den Haag),NL001C1,NL33,NL,2014,82,333.79,13.1
The Hague (Den Haag),NL001C1,NL33,NL,2015,81.8,339.2,12.3
The Hague (Den Haag),NL001C1,NL33,NL,2016,81.8,344.34,11.6
The Hague (Den Haag),NL001C1,NL33,NL,2017,82,353.15,11.9
The Hague (Den Haag),NL001C1,NL33,NL,2018,81.9,363.24,10.7
The Hague (Den Haag),NL001C1,NL33,NL,2019,NaN,NaN,10.3
Thessaloniki,EL002C1,EL52,EL,2012,80.8,473.7,24.1
Thessaloniki,EL002C1,EL52,EL,2013,81.8,483.75,22.8
Thessaloniki,EL002C1,EL52,EL,2014,81.7,496.28,21.1
Thessaloniki,EL002C1,EL52,EL,2015,81.7,505.36,19
Thessaloniki,EL002C1,EL52,EL,2016,81.9,511.5,20.1
Thessaloniki,EL002C1,EL52,EL,2017,81.8,522.26,20.9
Thessaloniki,EL002C1,EL52,EL,2018,82.6,521.27,19
Thessaloniki,EL002C1,EL52,EL,2019,NaN,NaN,21.6
Timisoara,RO003C1,RO42,RO,2012,74.1,350.04,13.8
Timisoara,RO003C1,RO42,RO,2013,74.8,345.97,14.6
Timisoara,RO003C1,RO42,RO,2014,74.8,351.33,15.3
Timisoara,RO003C1,RO42,RO,2015,74.6,360.55,17.2
Timisoara,RO003C1,RO42,RO,2016,75.3,369.99,17.4
Timisoara,RO003C1,RO42,RO,2017,75.2,385.74,17.2
Timisoara,RO003C1,RO42,RO,2018,75.2,399.38,17.5
Timisoara,RO003C1,RO42,RO,2019,NaN,NaN,17.6
Trieste,IT015C1,ITH4,IT,2012,82.5,376.69,16.2
Trieste,IT015C1,ITH4,IT,2013,82.6,386.34,16.7
Trieste,IT015C1,ITH4,IT,2014,83.4,388.44,17
Trieste,IT015C1,ITH4,IT,2015,82.8,385.08,18.5
Trieste,IT015C1,ITH4,IT,2016,83.5,395.89,16.8
Trieste,IT015C1,ITH4,IT,2017,83.5,402.97,16
Trieste,IT015C1,ITH4,IT,2018,83.5,402.76,14.7
Trieste,IT015C1,ITH4,IT,2019,NaN,NaN,17.2
Trondheim,NO003C1,NO06,NO,2012,82.1,422.55,6.9
Trondheim,NO003C1,NO06,NO,2013,82.1,440.12,4.7
Trondheim,NO003C1,NO06,NO,2014,82.3,448.24,3.5
Trondheim,NO003C1,NO06,NO,2015,83.1,446.11,2.9
Trondheim,NO003C1,NO06,NO,2016,82.8,455.06,3.7
Trondheim,NO003C1,NO06,NO,2017,82.6,469.92,5.7
Trondheim,NO003C1,NO06,NO,2018,83,491.76,7.1
Trondheim,NO003C1,NO06,NO,2019,NaN,NaN,6.6
Turin,IT004C1,ITC1,IT,2012,82.4,352.62,14.7
Turin,IT004C1,ITC1,IT,2013,82.7,352.72,14.3
Turin,IT004C1,ITC1,IT,2014,83.2,351.91,14.2
Turin,IT004C1,ITC1,IT,2015,82.5,348.91,14.8
Turin,IT004C1,ITC1,IT,2016,83.3,359.25,13.5
Turin,IT004C1,ITC1,IT,2017,83,363.05,14
Turin,IT004C1,ITC1,IT,2018,83,365.7,15.2
Turin,IT004C1,ITC1,IT,2019,NaN,NaN,14.7
Valencia,ES003C1,ES51,ES,2012,82.1,406.8,10.5
Valencia,ES003C1,ES51,ES,2013,82.8,413.28,11
Valencia,ES003C1,ES51,ES,2014,82.8,389.95,11.3
Valencia,ES003C1,ES51,ES,2015,82.5,355.25,10.8
Valencia,ES003C1,ES51,ES,2016,83,374.46,11.5
Valencia,ES003C1,ES51,ES,2017,82.8,378.69,12.8
Valencia,ES003C1,ES51,ES,2018,82.9,375.76,13.5
Valencia,ES003C1,ES51,ES,2019,NaN,NaN,14.9
Varna,BG003C1,BG33,BG,2012,73.8,371.47,7.8
Varna,BG003C1,BG33,BG,2013,74.3,375,8.2
Varna,BG003C1,BG33,BG,2014,74,375.22,9.2
Varna,BG003C1,BG33,BG,2015,74.1,376.79,12.1
Varna,BG003C1,BG33,BG,2016,74.4,384.88,12.7
Varna,BG003C1,BG33,BG,2017,74.2,401.82,12
Varna,BG003C1,BG33,BG,2018,74.4,394.15,14.9
Varna,BG003C1,BG33,BG,2019,NaN,NaN,15.5
Vienna,AT001C1,AT13,AT,2012,80.1,664.19,7.4
Vienna,AT001C1,AT13,AT,2013,80.1,685.29,6.2
Vienna,AT001C1,AT13,AT,2014,80.5,688.54,5.6
Vienna,AT001C1,AT13,AT,2015,80.4,683.97,5.5
Vienna,AT001C1,AT13,AT,2016,80.9,681.16,5.2
Vienna,AT001C1,AT13,AT,2017,80.8,684.97,6.3
Vienna,AT001C1,AT13,AT,2018,80.6,679.56,8
Vienna,AT001C1,AT13,AT,2019,NaN,NaN,8
Vilnius,LT001C1,LT01,LT,2012,74.1,421.85,NaN
Vilnius,LT001C1,LT01,LT,2013,74.1,427.7,0.1
Vilnius,LT001C1,LT01,LT,2014,74.7,430.74,0.5
Vilnius,LT001C1,LT01,LT,2015,74.6,433.92,1.4
Vilnius,LT001C1,LT01,LT,2016,74.9,446.69,2.7
Vilnius,LT001C1,LT01,LT,2017,75.8,455.63,-1.1
Vilnius,LT001C1,LT01,LT,2018,76,459.78,1.2
Vilnius,LT001C1,LT01,LT,2019,NaN,NaN,1
Warsaw,PL001C1,PL91,PL,2012,76.5,NaN,NaN
Warsaw,PL001C1,PL91,PL,2013,76.3,NaN,10.7
Warsaw,PL001C1,PL91,PL,2014,77.4,NaN,11.4
Warsaw,PL001C1,PL91,PL,2015,77.1,NaN,9.8
Warsaw,PL001C1,PL91,PL,2016,77.1,NaN,9.7
Warsaw,PL001C1,PL91,PL,2017,77.1,NaN,9.9
Warsaw,PL001C1,PL91,PL,2018,76.9,NaN,8.2
Warsaw,PL001C1,PL91,PL,2019,NaN,NaN,10.5
Wroclaw,PL004C1,PL51,PL,2012,76.6,214.71,13.3
Wroclaw,PL004C1,PL51,PL,2013,76.9,217.35,13.9
Wroclaw,PL004C1,PL51,PL,2014,77.4,226.01,14.1
Wroclaw,PL004C1,PL51,PL,2015,77.2,228.15,15
Wroclaw,PL004C1,PL51,PL,2016,77.7,233.72,15.4
Wroclaw,PL004C1,PL51,PL,2017,77.4,222.14,15
Wroclaw,PL004C1,PL51,PL,2018,77.2,NaN,13.2
Wroclaw,PL004C1,PL51,PL,2019,NaN,NaN,12.6
Zagreb,HR001C1,HR04,HR,2012,78.6,281.37,11.5
Zagreb,HR001C1,HR04,HR,2013,79.3,285.74,9.2
Zagreb,HR001C1,HR04,HR,2014,79.3,300.41,11.1
Zagreb,HR001C1,HR04,HR,2015,78.6,303.09,11
Zagreb,HR001C1,HR04,HR,2016,79.4,303.49,10.1
Zagreb,HR001C1,HR04,HR,2017,78.9,313.63,10.7
Zagreb,HR001C1,HR04,HR,2018,79.4,322.12,11.8
Zagreb,HR001C1,HR04,HR,2019,NaN,NaN,11.1
Zurich,CH001C1,CH04,CH,2012,83,472.34,11.1
Zurich,CH001C1,CH04,CH,2013,83,486.92,9.7
Zurich,CH001C1,CH04,CH,2014,83.4,501.13,7.8
Zurich,CH001C1,CH04,CH,2015,83.2,510.99,9.8
Zurich,CH001C1,CH04,CH,2016,83.9,520.78,8.8
Zurich,CH001C1,CH04,CH,2017,83.8,522.54,9.5
Zurich,CH001C1,CH04,CH,2018,84,524.51,9
Zurich,CH001C1,CH04,CH,2019,NaN,NaN,8.3
