,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
113,Geneva,CH002C1,CH01,CH,2013,7.4
114,Gent,BE003C1,BE23,BE,2013,4.0
115,Glasgow,UK004C1,UKM3,UK,2013,7.2
116,Gothenburg,SE002C1,SE23,SE,2013,8.0
117,Hamburg,DE002C1,DE60,DE,2013,4.7
118,Iasi,RO502C1,RO21,RO,2013,4.4
119,Istanbul,TR012C1,TR10,TR,2013,10.6
120,Izmir,TR013C1,TR31,TR,2013,14.3
121,Kaunas,LT002C1,LT02,LT,2013,12.6
122,Krakow (Cracow),PL003C1,PL2,PL,2013,10.2
123,Leeds,UK003C1,UKE4,UK,2013,9.4
124,Limassol,CY501C1,CY00,CY,2013,15.9
125,Lisbon,PT001C1,PT17,PT,2013,18.6
126,Ljubljana,SI001C1,SI04,SI,2013,8.7
127,London,UK001K2,UKI,UK,2013,8.7
128,Luxembourg,LU001C1,LU00,LU,2013,5.9
129,Lyon,FR003C2,FRK2,FR,2013,8.4
130,Madrid,ES001C1,ES30,ES,2013,19.8
131,Manchester,UK008C1,UKD3,UK,2013,9.4
132,Milan,IT002C1,ITC4,IT,2013,8.0
133,Munich,DE003L1,DE21,DE,2013,2.5
134,Nicosia,CY001C1,CY0,CY,2013,15.9
135,Oslo,NO001C1,NO01,NO,2013,3.9
136,Paris,FR001C1,FR10,FR,2013,9.0
137,Porto,PT002C1,PT11,PT,2013,17.4
138,Poznan,PL005C1,PL41,PL,2013,8.8
139,Prague,CZ001C1,CZ01,CZ,2013,3.1
140,Reykjavik,IS001C1,IS00,IS,2013,5.4
141,Riga,LV001C1,LV00,LV,2013,11.9
142,Rome,IT001C1,ITI4,IT,2013,12.0
143,Rotterdam,NL003C1,NL33,NL,2013,8.0
144,The Hague (Den Haag),NL001C1,NL33,NL,2013,8.0
145,Seville (Sevilla),ES004C1,ES61,ES,2013,36.2
146,Sofia,BG001C1,BG41,BG,2013,9.8
147,Stockholm,SE001C1,SE11,SE,2013,6.9
148,Stuttgart,DE007C1,DE11,DE,2013,3.7
149,Tallinn,EE001C1,EE00,EE,2013,8.6
150,Thessaloniki,EL002C1,EL52,EL,2013,30.2
151,Timisoara,RO003C1,RO42,RO,2013,5.2
152,Trieste,IT015C1,ITH4,IT,2013,7.7
153,Trondheim,NO003C1,NO06,NO,2013,2.6
154,Turin,IT004C1,ITC1,IT,2013,10.6
155,Varna,BG003C1,BG33,BG,2013,16.8
156,Vienna,AT001C1,AT13,AT,2013,9.3
157,Vilnius,LT001C1,LT01,LT,2013,9.7
158,Warsaw,PL001C1,PL91,PL,2013,6.0
159,Wroclaw,PL004C1,PL51,PL,2013,11.3
160,Zagreb,HR001C1,HR04,HR,2013,18.4
