,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
114,Kaunas,LT002C1,LT02,LT,2013,
115,Krakow (Cracow),PL003C1,PL2,PL,2013,62.0
116,Leeds,UK003C1,UKE4,UK,2013,24.0
117,Limassol,CY501C1,CY00,CY,2013,47.0
118,Lisbon,PT001C1,PT17,PT,2013,37.0
119,Ljubljana,SI001C1,SI04,SI,2013,
120,London,UK001K2,UKI,UK,2013,16.0
121,Luxembourg,LU001C1,LU00,LU,2013,84.0
122,Lyon,FR003C2,FRK2,FR,2013,49.0
123,Madrid,ES001C1,ES30,ES,2013,20.0
124,Manchester,UK008C1,UKD3,UK,2013,13.0
125,Milan,IT002C1,ITC4,IT,2013,43.0
126,Munich,DE003L1,DE21,DE,2013,47.0
127,Nicosia,CY001C1,CY0,CY,2013,47.0
128,Oslo,NO001C1,NO01,NO,2013,14.0
129,Paris,FR001C1,FR10,FR,2013,24.0
130,Porto,PT002C1,PT11,PT,2013,53.0
131,Poznan,PL005C1,PL41,PL,2013,84.0
132,Prague,CZ001C1,CZ01,CZ,2013,29.0
133,Riga,LV001C1,LV00,LV,2013,88.0
134,Rome,IT001C1,ITI4,IT,2013,66.0
135,Rotterdam,NL003C1,NL33,NL,2013,24.0
136,The Hague (Den Haag),NL001C1,NL33,NL,2013,24.0
137,Seville (Sevilla),ES004C1,ES61,ES,2013,34.0
138,Sofia,BG001C1,BG41,BG,2013,61.0
139,Stockholm,SE001C1,SE11,SE,2013,10.0
140,Stuttgart,DE007C1,DE11,DE,2013,41.0
141,Tallinn,EE001C1,EE00,EE,2013,61.0
142,Thessaloniki,EL002C1,EL52,EL,2013,69.0
143,Timisoara,RO003C1,RO42,RO,2013,99.0
144,Trieste,IT015C1,ITH4,IT,2013,68.0
145,Trondheim,NO003C1,NO06,NO,2013,41.0
146,Turin,IT004C1,ITC1,IT,2013,59.0
147,Varna,BG003C1,BG33,BG,2013,86.0
148,Vienna,AT001C1,AT13,AT,2013,10.0
149,Vilnius,LT001C1,LT01,LT,2013,
150,Warsaw,PL001C1,PL91,PL,2013,
151,Wroclaw,PL004C1,PL51,PL,2013,78.0
152,Zagreb,HR001C1,HR04,HR,2013,84.0
153,Zurich,CH001C1,CH04,CH,2013,24.0
154,Amsterdam,NL002C1,NL32,NL,2014,26.0
155,Ankara,TR001C1,TR51,TR,2014,30.0
156,Antwerp,BE002C1,BE2,BE,2014,63.0
157,Athens,EL001C1,EL30,EL,2014,47.0
158,Barcelona,ES002C1,ES51,ES,2014,37.0
159,Valencia,ES003C1,ES51,ES,2014,37.0
160,Belfast,UK012C1,UKN0,UK,2014,43.0
161,Bergen,NO002C1,NO05,NO,2014,22.0
162,Berlin,DE001C1,DE30,DE,2014,15.0
163,Birmingham,UK002C1,UKG3,UK,2014,20.0
164,Bologna,IT009C1,ITH5,IT,2014,74.0
165,Brasov,RO504C1,RO12,RO,2014,93.0
166,Bratislava,SK001C1,SK01,SK,2014,50.0
167,Bristol,UK011C1,UKK1,UK,2014,34.0
168,Brno,CZ002C1,CZ06,CZ,2014,70.0
169,Brussels,BE001C1,BE1,BE,2014,24.0
170,Bucharest,RO001C1,RO32,RO,2014,57.0
171,Budapest,HU001C1,HU11,HU,2014,29.0
172,Bursa,TR005C1,TR41,TR,2014,40.0
173,Cambridge,UK017C1,UKH1,UK,2014,41.0
174,Cluj-Napoca,RO002C1,RO11,RO,2014,88.0
175,Cologne,DE004C1,DEA2,DE,2014,25.0
176,Constanta,RO501C1,RO22,RO,2014,99.0
177,Copenhagen,DK001C1,DK01,DK,2014,17.0
178,Cork,IE002C1,IE05,IE,2014,44.0
179,Dublin,IE001C1,IE06,IE,2014,36.0
180,Dusseldorf,DE011C1,DEA1,DE,2014,22.0
181,Eindhoven,NL005C1,NL41,NL,2014,40.0
182,Frankfurt,DE005C1,DE71,DE,2014,26.0
183,Gdansk,PL006C1,PL63,PL,2014,80.0
184,Geneva,CH002C1,CH01,CH,2014,31.0
185,Gent,BE003C1,BE23,BE,2014,57.0
186,Gothenburg,SE002C1,SE23,SE,2014,27.0
187,Hamburg,DE002C1,DE60,DE,2014,22.0
188,Iasi,RO502C1,RO21,RO,2014,90.0
189,Istanbul,TR012C1,TR10,TR,2014,15.0
190,Izmir,TR013C1,TR31,TR,2014,41.0
191,Kaunas,LT002C1,LT02,LT,2014,99.0
192,Krakow (Cracow),PL003C1,PL2,PL,2014,61.0
193,Leeds,UK003C1,UKE4,UK,2014,26.0
194,Limassol,CY501C1,CY00,CY,2014,52.0
195,Lisbon,PT001C1,PT17,PT,2014,37.0
196,Ljubljana,SI001C1,SI04,SI,2014,55.0
197,London,UK001K2,UKI,UK,2014,15.0
198,Luxembourg,LU001C1,LU00,LU,2014,64.0
199,Lyon,FR003C2,FRK2,FR,2014,45.0
200,Madrid,ES001C1,ES30,ES,2014,18.0
201,Manchester,UK008C1,UKD3,UK,2014,20.0
202,Milan,IT002C1,ITC4,IT,2014,45.0
203,Munich,DE003L1,DE21,DE,2014,48.0
204,Nicosia,CY001C1,CY0,CY,2014,52.0
205,Oslo,NO001C1,NO01,NO,2014,17.0
206,Paris,FR001C1,FR10,FR,2014,26.0
207,Porto,PT002C1,PT11,PT,2014,59.0
208,Poznan,PL005C1,PL41,PL,2014,78.0
209,Prague,CZ001C1,CZ01,CZ,2014,20.0
210,Riga,LV001C1,LV00,LV,2014,106.0
211,Rome,IT001C1,ITI4,IT,2014,63.0
212,Rotterdam,NL003C1,NL33,NL,2014,22.0
213,The Hague (Den Haag),NL001C1,NL33,NL,2014,22.0
214,Seville (Sevilla),ES004C1,ES61,ES,2014,34.0
215,Sofia,BG001C1,BG41,BG,2014,68.0
216,Stockholm,SE001C1,SE11,SE,2014,16.0
217,Stuttgart,DE007C1,DE11,DE,2014,34.0
218,Tallinn,EE001C1,EE00,EE,2014,59.0
219,Thessaloniki,EL002C1,EL52,EL,2014,66.0
220,Timisoara,RO003C1,RO42,RO,2014,113.0
221,Trieste,IT015C1,ITH4,IT,2014,81.0
222,Trondheim,NO003C1,NO06,NO,2014,43.0
223,Turin,IT004C1,ITC1,IT,2014,60.0
